"manufacturer_pair","manufacturer_label","model_bucket","total_count","same_count","different_count","unknown_count","verdict_profile","replicate_verdicts"
"拜新同 vs 奥赛定","奥赛定","ChatGPT","3","2","0","1","same_with_unknown","rep1:same; rep2:same; rep3:unknown"
"拜新同 vs 奥赛定","奥赛定","DeepSeek","3","1","2","0","mixed_same_different","rep1:same; rep2:different; rep3:different"
"拜新同 vs 奥赛定","奥赛定","Kimi","3","2","0","1","same_with_unknown","rep1:unknown; rep2:same; rep3:same"
"拜新同 vs 奥赛定","奥赛定","Qwen","3","2","1","0","mixed_same_different","rep1:different; rep2:same; rep3:same"
"拜新同 vs 拜新同","拜新同","Kimi","3","2","0","1","same_with_unknown","rep1:unknown; rep2:same; rep3:same"
"拜新同 vs 贝奇康","贝奇康","ChatGPT","3","2","0","1","same_with_unknown","rep1:same; rep2:same; rep3:unknown"
"拜新同 vs 贝奇康","贝奇康","DeepSeek","3","2","1","0","mixed_same_different","rep1:same; rep2:different; rep3:same"
"拜新同 vs 贝奇康","贝奇康","Kimi","2","1","1","0","mixed_same_different","rep2:different; rep3:same"
"拜新同 vs 贝奇康","贝奇康","Qwen","3","2","1","0","mixed_same_different","rep1:same; rep2:same; rep3:different"
"拜新同 vs 得欣通","得欣通","ChatGPT","2","1","0","1","same_with_unknown","rep1:same; rep2:unknown"
"拜新同 vs 得欣通","得欣通","DeepSeek","3","3","0","0","same_only","rep1:same; rep2:same; rep3:same"
"拜新同 vs 得欣通","得欣通","Kimi",,"0","1","0","different_only","rep1:different"
"拜新同 vs 得欣通","得欣通","Qwen","3","1","2","0","mixed_same_different","rep1:different; rep2:different; rep3:same"
"拜新同 vs 久保平","久保平","ChatGPT","3","2","1","0","mixed_same_different","rep1:same; rep2:same; rep3:different"
"拜新同 vs 久保平","久保平","DeepSeek","3","3","0","0","same_only","rep1:same; rep2:same; rep3:same"
"拜新同 vs 久保平","久保平","Kimi","2","0","1","1","different_with_unknown","rep2:different; rep3:unknown"
"拜新同 vs 久保平","久保平","Qwen","3","0","3","0","different_only","rep1:different; rep2:different; rep3:different"
"拜新同 vs 居安诺","居安诺","ChatGPT","3","3","0","0","same_only","rep1:same; rep2:same; rep3:same"
"拜新同 vs 居安诺","居安诺","DeepSeek","3","1","2","0","mixed_same_different","rep1:different; rep2:same; rep3:different"
"拜新同 vs 居安诺","居安诺","Kimi","2","0","1","1","different_with_unknown","rep1:unknown; rep2:different"
"拜新同 vs 居安诺","居安诺","Qwen","3","2","1","0","mixed_same_different","rep1:different; rep2:same; rep3:same"
"拜新同 vs 君保泰","君保泰","ChatGPT","3","0","1","2","different_with_unknown","rep1:unknown; rep2:different; rep3:unknown"
"拜新同 vs 君保泰","君保泰","DeepSeek","3","0","3","0","different_only","rep1:different; rep2:different; rep3:different"
"拜新同 vs 君保泰","君保泰","Kimi","2","0","1","1","different_with_unknown","rep2:unknown; rep3:different"
"拜新同 vs 君保泰","君保泰","Qwen","3","1","2","0","mixed_same_different","rep1:different; rep2:same; rep3:different"
"拜新同 vs 立方","立方","ChatGPT","3","3","0","0","same_only","rep1:same; rep2:same; rep3:same"
"拜新同 vs 立方","立方","DeepSeek","3","0","3","0","different_only","rep1:different; rep2:different; rep3:different"
"拜新同 vs 立方","立方","Kimi","3","1","2","0","mixed_same_different","rep1:same; rep2:different; rep3:different"
"拜新同 vs 立方","立方","Qwen","3","1","2","0","mixed_same_different","rep1:different; rep2:same; rep3:different"
"拜新同 vs 奈特","奈特","ChatGPT","3","3","0","0","same_only","rep1:same; rep2:same; rep3:same"
"拜新同 vs 奈特","奈特","DeepSeek","3","2","1","0","mixed_same_different","rep1:different; rep2:same; rep3:same"
"拜新同 vs 奈特","奈特","Kimi","2","0","0","2","unknown_only","rep2:unknown; rep3:unknown"
"拜新同 vs 奈特","奈特","Qwen","3","2","1","0","mixed_same_different","rep1:same; rep2:same; rep3:different"
"拜新同 vs 赛新同","赛新同","ChatGPT","2","0","0","2","unknown_only","rep2:unknown; rep3:unknown"
"拜新同 vs 赛新同","赛新同","DeepSeek","3","2","1","0","mixed_same_different","rep1:same; rep2:same; rep3:different"
"拜新同 vs 赛新同","赛新同","Kimi","3","2","1","0","mixed_same_different","rep1:same; rep2:different; rep3:same"
"拜新同 vs 赛新同","赛新同","Qwen","3","1","2","0","mixed_same_different","rep1:same; rep2:different; rep3:different"
"拜新同 vs 欣然","欣然","ChatGPT","3","0","3","0","different_only","rep1:different; rep2:different; rep3:different"
"拜新同 vs 欣然","欣然","DeepSeek","3","1","2","0","mixed_same_different","rep1:different; rep2:same; rep3:different"
"拜新同 vs 欣然","欣然","Kimi",,"0","0","1","unknown_only","rep1:unknown"
"拜新同 vs 欣然","欣然","Qwen","3","1","2","0","mixed_same_different","rep1:different; rep2:same; rep3:different"
"拜新同 vs 欣适平","欣适平","ChatGPT","3","3","0","0","same_only","rep1:same; rep2:same; rep3:same"
"拜新同 vs 欣适平","欣适平","DeepSeek","3","2","1","0","mixed_same_different","rep1:same; rep2:different; rep3:same"
"拜新同 vs 欣适平","欣适平","Kimi",,"0","1","0","different_only","rep2:different"
"拜新同 vs 欣适平","欣适平","Qwen","3","0","3","0","different_only","rep1:different; rep2:different; rep3:different"
"拜新同 vs 亚宝","亚宝","ChatGPT",,"0","0","1","unknown_only","rep3:unknown"
"拜新同 vs 亚宝","亚宝","DeepSeek","3","1","2","0","mixed_same_different","rep1:different; rep2:same; rep3:different"
"拜新同 vs 亚宝","亚宝","Kimi","3","1","2","0","mixed_same_different","rep1:different; rep2:different; rep3:same"
"拜新同 vs 亚宝","亚宝","Qwen","3","1","2","0","mixed_same_different","rep1:different; rep2:different; rep3:same"
"拜新同 vs 一品红","一品红","ChatGPT","3","2","1","0","mixed_same_different","rep1:same; rep2:different; rep3:same"
"拜新同 vs 一品红","一品红","DeepSeek","3","2","1","0","mixed_same_different","rep1:same; rep2:same; rep3:different"
"拜新同 vs 一品红","一品红","Kimi","2","0","0","2","unknown_only","rep1:unknown; rep2:unknown"
"拜新同 vs 一品红","一品红","Qwen","3","1","2","0","mixed_same_different","rep1:different; rep2:same; rep3:different"
"拜新同 vs 亿普","亿普","ChatGPT","2","0","0","2","unknown_only","rep2:unknown; rep3:unknown"
"拜新同 vs 亿普","亿普","DeepSeek","3","2","1","0","mixed_same_different","rep1:same; rep2:same; rep3:different"
"拜新同 vs 亿普","亿普","Kimi","2","0","1","1","different_with_unknown","rep2:unknown; rep3:different"
"拜新同 vs 亿普","亿普","Qwen","3","0","3","0","different_only","rep1:different; rep2:different; rep3:different"
"拜新同 vs 易释","易释","ChatGPT","3","3","0","0","same_only","rep1:same; rep2:same; rep3:same"
"拜新同 vs 易释","易释","DeepSeek","3","1","2","0","mixed_same_different","rep1:different; rep2:same; rep3:different"
"拜新同 vs 易释","易释","Kimi","3","0","1","2","different_with_unknown","rep1:unknown; rep2:different; rep3:unknown"
"拜新同 vs 易释","易释","Qwen","3","1","2","0","mixed_same_different","rep1:same; rep2:different; rep3:different"
