model_bucket,primary_drug_label,primary_pH_label,reference_manufacturer_label,manufacturer_label,manufacturer_pair,batch_pair,comparison_scope,repeat_group_base_key,repeat_group_model_key,replicate_count,complete_replicate_group,replicate_ids,replicate_1_verdict,replicate_2_verdict,replicate_3_verdict,replicate_1_path,replicate_2_path,replicate_3_path,consistency_status,consensus_verdict,same_count,different_count,unknown_count,potential_false_positive_count,potential_false_negative_count,potential_error_replicates,manual_review_flag
ChatGPT,硝苯地平控释片30mg,,拜新同,一品红,拜新同 vs 一品红,BJ86516 vs 302125001,cross_manufacturer,硝苯地平控释片30mg || 拜新同 vs 一品红 || BJ86516 vs 302125001,硝苯地平控释片30mg || 拜新同 vs 一品红 || BJ86516 vs 302125001 || ChatGPT,1,0,1,same,,,chat gpt/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1vs07-硝苯地平控释片30mg-一品红-302125001-Side-36h-750X-1-1.docx,,,insufficient,same,1,0,0,0,0,,1
GLM,硝苯地平控释片30mg,,拜新同,一品红,拜新同 vs 一品红,BJ86516 vs 302125001,cross_manufacturer,硝苯地平控释片30mg || 拜新同 vs 一品红 || BJ86516 vs 302125001,硝苯地平控释片30mg || 拜新同 vs 一品红 || BJ86516 vs 302125001 || GLM,3,1,"1,2,3",same,unknown,unknown,zhipu/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1__vs__07-硝苯地平控释片30mg-一品红-302125001-Side-36h-750X-1__rep01/compare_answer.md,zhipu/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1__vs__07-硝苯地平控释片30mg-一品红-302125001-Side-36h-750X-1__rep02/compare_answer.md,zhipu/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1__vs__07-硝苯地平控释片30mg-一品红-302125001-Side-36h-750X-1__rep03/compare_answer.md,insufficient,same,1,0,2,0,0,,1
Kimi,硝苯地平控释片30mg,,拜新同,一品红,拜新同 vs 一品红,BJ86516 vs 302125001,cross_manufacturer,硝苯地平控释片30mg || 拜新同 vs 一品红 || BJ86516 vs 302125001,硝苯地平控释片30mg || 拜新同 vs 一品红 || BJ86516 vs 302125001 || Kimi,2,0,"1,2",unknown,unknown,,kimi/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1__vs__07-硝苯地平控释片30mg-一品红-302125001-Side-36h-750X-1__rep01/compare_answer.md,kimi/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1__vs__07-硝苯地平控释片30mg-一品红-302125001-Side-36h-750X-1__rep02/compare_answer.md,,insufficient,,0,0,2,0,0,,1
Qwen,硝苯地平控释片30mg,,拜新同,一品红,拜新同 vs 一品红,BJ86516 vs 302125001,cross_manufacturer,硝苯地平控释片30mg || 拜新同 vs 一品红 || BJ86516 vs 302125001,硝苯地平控释片30mg || 拜新同 vs 一品红 || BJ86516 vs 302125001 || Qwen,3,1,"1,2,3",different,same,different,qwen/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1__vs__07-硝苯地平控释片30mg-一品红-302125001-Side-36h-750X-1__rep01/compare_answer.md,qwen/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1__vs__07-硝苯地平控释片30mg-一品红-302125001-Side-36h-750X-1__rep02/compare_answer.md,qwen/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1__vs__07-硝苯地平控释片30mg-一品红-302125001-Side-36h-750X-1__rep03/compare_answer.md,inconsistent,different,1,2,0,1,0,2,1
ChatGPT,硝苯地平控释片30mg,,拜新同,久保平,拜新同 vs 久保平,BJ86516 vs 22400938,cross_manufacturer,硝苯地平控释片30mg || 拜新同 vs 久保平 || BJ86516 vs 22400938,硝苯地平控释片30mg || 拜新同 vs 久保平 || BJ86516 vs 22400938 || ChatGPT,1,0,1,same,,,chat gpt/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1vs05-硝苯地平控释片30mg-久保平-22400938-Side-36h-750X-1-1.docx,,,insufficient,same,1,0,0,0,0,,1
GLM,硝苯地平控释片30mg,,拜新同,久保平,拜新同 vs 久保平,BJ86516 vs 22400938,cross_manufacturer,硝苯地平控释片30mg || 拜新同 vs 久保平 || BJ86516 vs 22400938,硝苯地平控释片30mg || 拜新同 vs 久保平 || BJ86516 vs 22400938 || GLM,3,1,"1,2,3",unknown,unknown,unknown,zhipu/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1__vs__05-硝苯地平控释片30mg-久保平-22400938-Side-36h-750X-1__rep01/compare_answer.md,zhipu/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1__vs__05-硝苯地平控释片30mg-久保平-22400938-Side-36h-750X-1__rep02/compare_answer.md,zhipu/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1__vs__05-硝苯地平控释片30mg-久保平-22400938-Side-36h-750X-1__rep03/compare_answer.md,insufficient,,0,0,3,0,0,,1
Kimi,硝苯地平控释片30mg,,拜新同,久保平,拜新同 vs 久保平,BJ86516 vs 22400938,cross_manufacturer,硝苯地平控释片30mg || 拜新同 vs 久保平 || BJ86516 vs 22400938,硝苯地平控释片30mg || 拜新同 vs 久保平 || BJ86516 vs 22400938 || Kimi,2,0,"2,3",,different,unknown,,kimi/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1__vs__05-硝苯地平控释片30mg-久保平-22400938-Side-36h-750X-1__rep02/compare_answer.md,kimi/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1__vs__05-硝苯地平控释片30mg-久保平-22400938-Side-36h-750X-1__rep03/compare_answer.md,insufficient,different,0,1,1,0,0,,1
Qwen,硝苯地平控释片30mg,,拜新同,久保平,拜新同 vs 久保平,BJ86516 vs 22400938,cross_manufacturer,硝苯地平控释片30mg || 拜新同 vs 久保平 || BJ86516 vs 22400938,硝苯地平控释片30mg || 拜新同 vs 久保平 || BJ86516 vs 22400938 || Qwen,3,1,"1,2,3",different,different,different,qwen/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1__vs__05-硝苯地平控释片30mg-久保平-22400938-Side-36h-750X-1__rep01/compare_answer.md,qwen/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1__vs__05-硝苯地平控释片30mg-久保平-22400938-Side-36h-750X-1__rep02/compare_answer.md,qwen/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1__vs__05-硝苯地平控释片30mg-久保平-22400938-Side-36h-750X-1__rep03/compare_answer.md,consistent,different,0,3,0,0,0,,0
ChatGPT,硝苯地平控释片30mg,,拜新同,亚宝,拜新同 vs 亚宝,BJ86516 vs 241001,cross_manufacturer,硝苯地平控释片30mg || 拜新同 vs 亚宝 || BJ86516 vs 241001,硝苯地平控释片30mg || 拜新同 vs 亚宝 || BJ86516 vs 241001 || ChatGPT,1,0,1,mixed,,,chat gpt/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1vs16-硝苯地平控释片30mg-亚宝-241001-Side-36h-750X-1-1.docx,,,insufficient,,0,0,0,0,0,,1
GLM,硝苯地平控释片30mg,,拜新同,亚宝,拜新同 vs 亚宝,BJ86516 vs 241001,cross_manufacturer,硝苯地平控释片30mg || 拜新同 vs 亚宝 || BJ86516 vs 241001,硝苯地平控释片30mg || 拜新同 vs 亚宝 || BJ86516 vs 241001 || GLM,3,1,"1,2,3",same,different,unknown,zhipu/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1__vs__16-硝苯地平控释片30mg-亚宝-241001-Side-36h-750X-1__rep01/compare_answer.md,zhipu/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1__vs__16-硝苯地平控释片30mg-亚宝-241001-Side-36h-750X-1__rep02/compare_answer.md,zhipu/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1__vs__16-硝苯地平控释片30mg-亚宝-241001-Side-36h-750X-1__rep03/compare_answer.md,inconsistent,,1,1,1,0,0,,1
Kimi,硝苯地平控释片30mg,,拜新同,亚宝,拜新同 vs 亚宝,BJ86516 vs 241001,cross_manufacturer,硝苯地平控释片30mg || 拜新同 vs 亚宝 || BJ86516 vs 241001,硝苯地平控释片30mg || 拜新同 vs 亚宝 || BJ86516 vs 241001 || Kimi,3,1,"1,2,3",different,different,same,kimi/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1__vs__16-硝苯地平控释片30mg-亚宝-241001-Side-36h-750X-1__rep01/compare_answer.md,kimi/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1__vs__16-硝苯地平控释片30mg-亚宝-241001-Side-36h-750X-1__rep02/compare_answer.md,kimi/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1__vs__16-硝苯地平控释片30mg-亚宝-241001-Side-36h-750X-1__rep03/compare_answer.md,inconsistent,different,1,2,0,1,0,3,1
Qwen,硝苯地平控释片30mg,,拜新同,亚宝,拜新同 vs 亚宝,BJ86516 vs 241001,cross_manufacturer,硝苯地平控释片30mg || 拜新同 vs 亚宝 || BJ86516 vs 241001,硝苯地平控释片30mg || 拜新同 vs 亚宝 || BJ86516 vs 241001 || Qwen,3,1,"1,2,3",different,different,same,qwen/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1__vs__16-硝苯地平控释片30mg-亚宝-241001-Side-36h-750X-1__rep01/compare_answer.md,qwen/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1__vs__16-硝苯地平控释片30mg-亚宝-241001-Side-36h-750X-1__rep02/compare_answer.md,qwen/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1__vs__16-硝苯地平控释片30mg-亚宝-241001-Side-36h-750X-1__rep03/compare_answer.md,inconsistent,different,1,2,0,1,0,3,1
ChatGPT,硝苯地平控释片30mg,,拜新同,亿普,拜新同 vs 亿普,BJ86516 vs A240105R1,cross_manufacturer,硝苯地平控释片30mg || 拜新同 vs 亿普 || BJ86516 vs A240105R1,硝苯地平控释片30mg || 拜新同 vs 亿普 || BJ86516 vs A240105R1 || ChatGPT,1,0,1,same,,,chat gpt/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1vs15-硝苯地平控释片30mg-亿普-A240105R1-Side-36h-750X-1-1.docx,,,insufficient,same,1,0,0,0,0,,1
GLM,硝苯地平控释片30mg,,拜新同,亿普,拜新同 vs 亿普,BJ86516 vs A240105R1,cross_manufacturer,硝苯地平控释片30mg || 拜新同 vs 亿普 || BJ86516 vs A240105R1,硝苯地平控释片30mg || 拜新同 vs 亿普 || BJ86516 vs A240105R1 || GLM,3,1,"1,2,3",same,unknown,same,zhipu/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1__vs__15-硝苯地平控释片30mg-亿普-A240105R1-Side-36h-750X-1__rep01/compare_answer.md,zhipu/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1__vs__15-硝苯地平控释片30mg-亿普-A240105R1-Side-36h-750X-1__rep02/compare_answer.md,zhipu/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1__vs__15-硝苯地平控释片30mg-亿普-A240105R1-Side-36h-750X-1__rep03/compare_answer.md,consistent,same,2,0,1,0,0,,0
