"expected_item","expected_repo_path","candidate_category","status","importance","likely_required_source_or_file_type","matching_repo_paths","handling_action","notes"
"DIS_chatflow.dsl","workflows/DIS_chatflow.dsl","workflow_dsl","found","essential","Dify workflow export from the chatflow source folder.","workflows/DIS_chatflow.dsl","No action; file is present.","Essential workflow DSL is present."
"TOMO_chatflow.dsl","workflows/TOMO_chatflow.dsl","workflow_dsl","found","essential","Dify workflow export from the chatflow source folder.","workflows/TOMO_chatflow.dsl","No action; file is present.","Essential workflow DSL is present."
"DIS prompt files","prompts/DIS/","prompt_DIS","found","essential","Prompt text files exported from the DIS workflow or prompt folder.","prompts/DIS/background_prompt.txt; prompts/DIS/compare_prompt.txt; prompts/DIS/image_analysis_prompt.txt; prompts/DIS/mechanism_prompt.txt","No action if all four core prompt modules remain present.","Core DIS prompt modules are present."
"MYGO prompt files","prompts/MYGO/","prompt_MYGO","found_equivalent_needs_review","essential","Prompt text files exported from the MYGO/TOMO workflow or prompt folder.","prompts/MYGO/methylene_blue_rana_prompt.txt; prompts/MYGO/methylene_blue_soyo_prompt.txt; prompts/MYGO/prompts1.txt","Review whether prompts/MYGO/prompts1.txt should be copied or renamed to methylene_blue_background_prompt.txt.","MYGO prompt set is present, but the exact background-prompt filename still needs naming review."
"model_output_batch_analyzer skill","skills/model_output_batch_analyzer/","skill_model_output_batch_analyzer","found","essential","Local skill folder under .agents/skills/model-output-batch-analyzer.","skills/model_output_batch_analyzer/SKILL.md","No action; skill module is present.","Essential skill folder is present."
"process_uv_release.py or equivalent UV processing documentation","scripts/process_uv_release.py","script_uv_processing","found","essential","UV processing Python script or equivalent reproducibility documentation.","scripts/process_uv_release.py","No action; script is present.","Essential UV processing script is present."
"fig3 model metrics source or processed data","source_data/fig3_model_metrics.* OR processed_data/fig3_model_metrics.csv","source_or_processed_data_fig3","found","essential","Figure 3 model-metrics source spreadsheet or processed CSV.","processed_data/fig3_model_metrics.csv; processed_data/fig3_model_metrics_10.csv; processed_data/fig3_model_metrics_11.csv; processed_data/fig3_model_metrics_12.csv; processed_data/fig3_model_metrics_13.csv; processed_data/fig3_model_metrics_2.csv; processed_data/fig3_model_metrics_3.csv; processed_data/fig3_model_metrics_4.csv; processed_data/fig3_model_metrics_5.csv; processed_data/fig3_model_metrics_6.csv; processed_data/fig3_model_metrics_7.csv; processed_data/fig3_model_metrics_8.csv; processed_data/fig3_model_metrics_9.csv; source_data/fig3_model_metrics.csv; source_data/fig3_model_metrics_10.csv; source_data/fig3_model_metrics_11.csv; source_data/fig3_model_metrics_2.csv; source_data/fig3_model_metrics_3.csv; source_data/fig3_model_metrics_4.csv; source_data/fig3_model_metrics_5.csv; source_data/fig3_model_metrics_6.csv; source_data/fig3_model_metrics_7.csv; source_data/fig3_model_metrics_8.csv; source_data/fig3_model_metrics_9.csv","No action; CSV source/processed data are present.","The original .xlsx target filename is not required because equivalent CSV data are present."
"fig5 UV absorbance source or processed data","source_data/fig5_uv_absorbance.* OR processed_data/fig5_uv_relative_release.csv","source_or_processed_data_fig5_uv","found","essential","Figure 5 UV absorbance source spreadsheet or processed release CSV.","processed_data/fig5_uv_relative_release.csv; processed_data/fig5_uv_relative_release_10.csv; processed_data/fig5_uv_relative_release_11.csv; processed_data/fig5_uv_relative_release_12.csv; processed_data/fig5_uv_relative_release_13.csv; processed_data/fig5_uv_relative_release_14.csv; processed_data/fig5_uv_relative_release_15.csv; processed_data/fig5_uv_relative_release_16.csv; processed_data/fig5_uv_relative_release_17.csv; processed_data/fig5_uv_relative_release_18.csv; processed_data/fig5_uv_relative_release_19.csv; processed_data/fig5_uv_relative_release_2.csv; processed_data/fig5_uv_relative_release_20.csv; processed_data/fig5_uv_relative_release_21.csv; processed_data/fig5_uv_relative_release_22.csv; processed_data/fig5_uv_relative_release_23.csv; processed_data/fig5_uv_relative_release_24.csv; processed_data/fig5_uv_relative_release_25.csv; processed_data/fig5_uv_relative_release_26.csv; processed_data/fig5_uv_relative_release_27.csv; processed_data/fig5_uv_relative_release_28.csv; processed_data/fig5_uv_relative_release_29.csv; processed_data/fig5_uv_relative_release_3.csv; processed_data/fig5_uv_relative_release_30.csv; processed_data/fig5_uv_relative_release_31.csv; processed_data/fig5_uv_relative_release_32.csv; processed_data/fig5_uv_relative_release_4.csv; processed_data/fig5_uv_relative_release_5.csv; processed_data/fig5_uv_relative_release_6.csv; processed_data/fig5_uv_relative_release_7.csv; processed_data/fig5_uv_relative_release_8.csv; processed_data/fig5_uv_relative_release_9.csv; source_data/fig5_uv_absorbance.csv; source_data/fig5_uv_absorbance_2.csv; source_data/fig5_uv_absorbance_3.csv; source_data/fig5_uv_absorbance_4.csv; source_data/fig5_uv_absorbance_5.csv","No action; source/processed CSV data are present.","The original .xlsx target filename is not required because equivalent CSV data are present."
"methylene blue UV absorbance validation values","validation_data/uv_absorbance_values/methylene_blue_uv_absorbance.csv","validation_uv_absorbance","found_equivalent_needs_review","essential","Validation UV spreadsheet or public CSV export from UV absorbance records.","validation_data/uv_absorbance_values/methylene_blue_uv_absorbance.xlsx; validation_data/uv_absorbance_values/methylene_blue_uv_absorbance_10.xlsx; validation_data/uv_absorbance_values/methylene_blue_uv_absorbance_11.xlsx; validation_data/uv_absorbance_values/methylene_blue_uv_absorbance_12.xlsx; validation_data/uv_absorbance_values/methylene_blue_uv_absorbance_13.xlsx; validation_data/uv_absorbance_values/methylene_blue_uv_absorbance_14.xlsx; validation_data/uv_absorbance_values/methylene_blue_uv_absorbance_15.xlsx; validation_data/uv_absorbance_values/methylene_blue_uv_absorbance_16.xlsx; validation_data/uv_absorbance_values/methylene_blue_uv_absorbance_17.xlsx; validation_data/uv_absorbance_values/methylene_blue_uv_absorbance_18.xlsx; validation_data/uv_absorbance_values/methylene_blue_uv_absorbance_2.xlsx; validation_data/uv_absorbance_values/methylene_blue_uv_absorbance_3.xlsx; validation_data/uv_absorbance_values/methylene_blue_uv_absorbance_4.xlsx; validation_data/uv_absorbance_values/methylene_blue_uv_absorbance_5.xlsx; validation_data/uv_absorbance_values/methylene_blue_uv_absorbance_6.xlsx; validation_data/uv_absorbance_values/methylene_blue_uv_absorbance_7.xlsx; validation_data/uv_absorbance_values/methylene_blue_uv_absorbance_8.xlsx; validation_data/uv_absorbance_values/methylene_blue_uv_absorbance_9.xlsx","Review whether the existing .xlsx files should be converted to the target CSV filename.","Methylene-blue validation values are present as spreadsheets, but the exact CSV target file is not present."
"gliclazide UV absorbance validation values","validation_data/uv_absorbance_values/gliclazide_uv_absorbance.csv","validation_uv_absorbance","found","essential","Likely source: UV absorbance records/export folder; expected file type is CSV or spreadsheet with gliclazide UV absorbance values.","validation_data/uv_absorbance_values/gliclazide_uv_absorbance_0410_standard_viscosity.xlsx; validation_data/uv_absorbance_values/gliclazide_uv_absorbance_0411_low_viscosity.xlsx; validation_data/uv_absorbance_values/gliclazide_uv_absorbance_0413_high_viscosity.xlsx; validation_data/uv_absorbance_values/gliclazide_uv_absorbance_0414_standard_viscosity.xlsx; validation_data/uv_absorbance_values/gliclazide_uv_absorbance_0415_low_viscosity.xlsx; validation_data/uv_absorbance_values/gliclazide_uv_absorbance_0416_high_viscosity.xlsx; validation_data/uv_absorbance_values/gliclazide_uv_absorbance_0423_gpts.xlsx; validation_data/uv_absorbance_values/gliclazide_uv_absorbance_0424_gemini.xlsx; validation_data/uv_absorbance_values/gliclazide_uv_absorbance_0425_qwen.xlsx; validation_data/uv_absorbance_values/gliclazide_uv_absorbance_0507_standard_viscosity.xlsx; validation_data/uv_absorbance_values/gliclazide_uv_absorbance_0508_low_viscosity.xlsx; validation_data/uv_absorbance_values/gliclazide_uv_absorbance_0509_high_viscosity.xlsx; validation_data/uv_absorbance_values/gliclazide_uv_absorbance_0510_gpts.xlsx; validation_data/uv_absorbance_values/gliclazide_uv_absorbance_0515_gpts.xlsx; validation_data/uv_absorbance_values/gliclazide_uv_absorbance_0516_gemini.xlsx; validation_data/uv_absorbance_values/gliclazide_uv_absorbance_0517_gemini.xlsx; validation_data/uv_absorbance_values/gliclazide_uv_absorbance_0518_qwen.xlsx; validation_data/uv_absorbance_values/gliclazide_uv_absorbance_0519_qwen.xlsx","No action for data availability; optional later conversion to CSV may be performed from the copied real spreadsheets.","Real gliclazide UV absorbance spreadsheets are present in validation_data/uv_absorbance_values."
