run_id,objective_percent,analyte,base_model,exact_model_identifier,model_provider,workflow_condition,workflow_app_id,workflow_version,prompt_version,access_date,run_start_timestamp,output_timestamp,repeat_index,run_count_for_condition,temperature_or_generation_settings,source_file,source_sha256,metadata_notes
three_formulation_optimization__20260724_121108__rep01,105,methylene blue,Qwen3.6-plus,not recorded in output files; model family supplied in experiment description,not recorded,original DIS Chatflow,d3390442-61a5-48da-9e7f-057b61193d67,not recorded,not recorded,2026-07-24,2026-07-24T12:11:08,2026-07-24T12:46:39,1,3,not recorded,example_data/example_markdown_outputs/chatflow/methylene_blue/supplementary_target_response/original_dis_chatflow_105/rep01/optimization_answer.public.md,2b370996b2705f12034ed37f62b84610c968de7e0205cc3d4ec9bca2d634f043,Workflow condition assigned from the experiment description; the same app_id appears in all nine transcript files.
three_formulation_optimization__20260724_121108__rep02,105,methylene blue,Qwen3.6-plus,not recorded in output files; model family supplied in experiment description,not recorded,original DIS Chatflow,d3390442-61a5-48da-9e7f-057b61193d67,not recorded,not recorded,2026-07-24,2026-07-24T12:46:40,2026-07-24T13:32:04,2,3,not recorded,example_data/example_markdown_outputs/chatflow/methylene_blue/supplementary_target_response/original_dis_chatflow_105/rep02/optimization_answer.public.md,9d8f683591cfbb062e21fffb8ea93da51e1c30861b8880182e5d42429c75560e,Workflow condition assigned from the experiment description; the same app_id appears in all nine transcript files.
three_formulation_optimization__20260724_121108__rep03,105,methylene blue,Qwen3.6-plus,not recorded in output files; model family supplied in experiment description,not recorded,original DIS Chatflow,d3390442-61a5-48da-9e7f-057b61193d67,not recorded,not recorded,2026-07-24,2026-07-24T13:32:05,2026-07-24T14:20:56,3,3,not recorded,example_data/example_markdown_outputs/chatflow/methylene_blue/supplementary_target_response/original_dis_chatflow_105/rep03/optimization_answer.public.md,abc7b6ab3ce7e4110f2e99461c9c28cfb33b13a1ed38e5765f57fa9504127d98,Workflow condition assigned from the experiment description; the same app_id appears in all nine transcript files.
three_formulation_optimization__20260724_151642__rep01,110,methylene blue,Qwen3.6-plus,not recorded in output files; model family supplied in experiment description,not recorded,TOMO/MYGO-adapted Chatflow,d3390442-61a5-48da-9e7f-057b61193d67,not recorded,not recorded,2026-07-24,2026-07-24T15:16:42,2026-07-24T16:11:19,1,3,not recorded,example_data/example_markdown_outputs/chatflow/methylene_blue/supplementary_target_response/tomo_mygo_adapted_110/rep01/optimization_answer.public.md,07584012b5f99e0bae2192a13f5fc4ddfe9bae68a9feeba7b5e79fe322ca5116,Workflow condition assigned from the experiment description; the same app_id appears in all nine transcript files.
three_formulation_optimization__20260724_151642__rep02,110,methylene blue,Qwen3.6-plus,not recorded in output files; model family supplied in experiment description,not recorded,TOMO/MYGO-adapted Chatflow,d3390442-61a5-48da-9e7f-057b61193d67,not recorded,not recorded,2026-07-24,2026-07-24T16:11:20,2026-07-24T16:58:33,2,3,not recorded,example_data/example_markdown_outputs/chatflow/methylene_blue/supplementary_target_response/tomo_mygo_adapted_110/rep02/optimization_answer.public.md,7d54b07cc9cc69cff6bc9571b2d96d5ef47cdd2363a191463b26bcfe1f21ccfe,Workflow condition assigned from the experiment description; the same app_id appears in all nine transcript files.
three_formulation_optimization__20260724_151642__rep03,110,methylene blue,Qwen3.6-plus,not recorded in output files; model family supplied in experiment description,not recorded,TOMO/MYGO-adapted Chatflow,d3390442-61a5-48da-9e7f-057b61193d67,not recorded,not recorded,2026-07-24,2026-07-24T16:58:34,2026-07-24T17:37:11,3,3,not recorded,example_data/example_markdown_outputs/chatflow/methylene_blue/supplementary_target_response/tomo_mygo_adapted_110/rep03/optimization_answer.public.md,f967fe26322456797e434f6a1411a70c42058de90e541810f09616f699bd514a,Workflow condition assigned from the experiment description; the same app_id appears in all nine transcript files.
three_formulation_optimization__20260724_183333__rep01,90,methylene blue,Qwen3.6-plus,not recorded in output files; model family supplied in experiment description,not recorded,TOMO/MYGO-adapted Chatflow,d3390442-61a5-48da-9e7f-057b61193d67,not recorded,not recorded,2026-07-24,2026-07-24T18:33:33,2026-07-24T19:20:49,1,3,not recorded,example_data/example_markdown_outputs/chatflow/methylene_blue/supplementary_target_response/tomo_mygo_adapted_90/rep01/optimization_answer.public.md,2ba163a256a1b6b760f219c91d33cc05b38fd3552daa76eba0bb957ae3a905c7,Workflow condition assigned from the experiment description; the same app_id appears in all nine transcript files.
three_formulation_optimization__20260724_183333__rep02,90,methylene blue,Qwen3.6-plus,not recorded in output files; model family supplied in experiment description,not recorded,TOMO/MYGO-adapted Chatflow,d3390442-61a5-48da-9e7f-057b61193d67,not recorded,not recorded,2026-07-24,2026-07-24T19:20:50,2026-07-24T19:58:27,2,3,not recorded,example_data/example_markdown_outputs/chatflow/methylene_blue/supplementary_target_response/tomo_mygo_adapted_90/rep02/optimization_answer.public.md,8dd870e7e3811fd9a8ddb0a4102f979bc84aac53133be7ef99422cebc8bc8e43,Workflow condition assigned from the experiment description; the same app_id appears in all nine transcript files.
three_formulation_optimization__20260724_183333__rep03,90,methylene blue,Qwen3.6-plus,not recorded in output files; model family supplied in experiment description,not recorded,TOMO/MYGO-adapted Chatflow,d3390442-61a5-48da-9e7f-057b61193d67,not recorded,not recorded,2026-07-24,2026-07-24T19:58:27,2026-07-24T20:39:59,3,3,not recorded,example_data/example_markdown_outputs/chatflow/methylene_blue/supplementary_target_response/tomo_mygo_adapted_90/rep03/optimization_answer.public.md,f7611f6fb5e1d75870b04fef0c8d5f216ebdf793a1ae996c1b69a7cb0fe70624,Workflow condition assigned from the experiment description; the same app_id appears in all nine transcript files.
gpt_skill_target_110_doc01,110,methylene blue,GPT (exact version not verified),not recorded in document; experiment description says GPT-5.4 Thinking while source filename says GPT 5.5,not recorded,skill-assisted,not applicable,not recorded,not recorded,not recorded,not recorded,not recorded,1,1,not recorded,example_data/example_markdown_outputs/skills/methylene_blue/supplementary_target_response/gpt_skill_target_110_output.docx,3ee8be52ace8fe4a4bc5086b560b2b4669a907384086bcf51be52b0c4839b674,Final optimization section targets 110%; source filename says 90%.
gpt_skill_target_90_doc01,90,methylene blue,GPT (exact version not verified),not recorded in document; experiment description says GPT-5.4 Thinking while source filename says GPT 5.5,not recorded,skill-assisted,not applicable,not recorded,not recorded,not recorded,not recorded,not recorded,1,1,not recorded,example_data/example_markdown_outputs/skills/methylene_blue/supplementary_target_response/gpt_skill_target_90_output.docx,9d6c5e09baf0708abebdada0d1cd156be6ee30d0c589fc77bf21ae475b63b59e,Final optimization section targets 90%; source filename says 110% and earlier background text still mentions 110%.
