formulation_group,replicate_id,k4m_amount,k100lv_amount,k4m_k100lv_ratio
Standard,std_1,40,60,0.6666666666666666
Standard,std_2,41,59,0.6949152542372882
Standard,std_3,39,61,0.639344262295082
GPT-5-mini,gpt_1,50,50,1.0
GPT-5-mini,gpt_2,51,49,1.0408163265306123
GPT-5-mini,gpt_3,49,51,0.9607843137254902
Qwen3.6-plus,qwen_1,47,53,0.8867924528301887
Qwen3.6-plus,qwen_2,48,52,0.9230769230769231
Qwen3.6-plus,qwen_3,46,54,0.8518518518518519
GLM-4.6V,glm_1,44,56,0.7857142857142857
GLM-4.6V,glm_2,45,55,0.8181818181818182
GLM-4.6V,glm_3,43,57,0.7543859649122807
Kimi-K2.5,kimi_1,42,58,0.7241379310344828
Kimi-K2.5,kimi_2,43,57,0.7543859649122807
Kimi-K2.5,kimi_3,41,59,0.6949152542372882
