severity,area,repo_path,issue_type,evidence,recommendation,action_status
cleanup_recommended,docs,docs/README_2.md,misplaced_project_file,"Copied from nature_comm_figures project metadata, not a curated docs page.","Remove from docs, merge useful prose into docs/reproducibility_notes.md, or keep only if explicitly cited. Cleaned in staging: duplicate/misplaced files removed or OpenAlex doc regenerated.",fixed_readme_cleanup_2026-06-16
cleanup_recommended,docs,docs/README_3.md,misplaced_project_file,"Copied from nature_comm_figures project metadata, not a curated docs page.","Remove from docs, merge useful prose into docs/reproducibility_notes.md, or keep only if explicitly cited. Cleaned in staging: duplicate/misplaced files removed or OpenAlex doc regenerated.",fixed_readme_cleanup_2026-06-16
cleanup_recommended,docs,docs/requirements.txt,misplaced_project_file,"Copied from nature_comm_figures project metadata, not a curated docs page.","Remove from docs, merge useful prose into docs/reproducibility_notes.md, or keep only if explicitly cited. Cleaned in staging: duplicate/misplaced files removed or OpenAlex doc regenerated.",fixed_readme_cleanup_2026-06-16
cleanup_recommended,knowledge_base,knowledge_base/markdown_conversion_workflow_10.md,code_saved_as_markdown_doc,First line looks like source code: import torch,"Do not keep as knowledge-base Markdown; remove, or move to a clearly named scripts/ocr_tools folder if code redistribution is intended. Cleaned in staging: duplicate/misplaced files removed or OpenAlex doc regenerated.",fixed_readme_cleanup_2026-06-16
cleanup_recommended,knowledge_base,knowledge_base/markdown_conversion_workflow_11.md,code_saved_as_markdown_doc,First line looks like source code: import asyncio,"Do not keep as knowledge-base Markdown; remove, or move to a clearly named scripts/ocr_tools folder if code redistribution is intended. Cleaned in staging: duplicate/misplaced files removed or OpenAlex doc regenerated.",fixed_readme_cleanup_2026-06-16
cleanup_recommended,knowledge_base,knowledge_base/markdown_conversion_workflow_12.md,code_saved_as_markdown_doc,First line looks like source code: # -*- coding: utf-8 -*-,"Do not keep as knowledge-base Markdown; remove, or move to a clearly named scripts/ocr_tools folder if code redistribution is intended. Cleaned in staging: duplicate/misplaced files removed or OpenAlex doc regenerated.",fixed_readme_cleanup_2026-06-16
cleanup_recommended,knowledge_base,knowledge_base/markdown_conversion_workflow_31.md,code_saved_as_markdown_doc,First line looks like source code: # -*- coding: utf-8 -*-,"Do not keep as knowledge-base Markdown; remove, or move to a clearly named scripts/ocr_tools folder if code redistribution is intended. Cleaned in staging: duplicate/misplaced files removed or OpenAlex doc regenerated.",fixed_readme_cleanup_2026-06-16
cleanup_recommended,knowledge_base,knowledge_base/markdown_conversion_workflow_32.md,code_saved_as_markdown_doc,First line looks like source code: # -*- coding: utf-8 -*-,"Do not keep as knowledge-base Markdown; remove, or move to a clearly named scripts/ocr_tools folder if code redistribution is intended. Cleaned in staging: duplicate/misplaced files removed or OpenAlex doc regenerated.",fixed_readme_cleanup_2026-06-16
cleanup_recommended,knowledge_base,knowledge_base/markdown_conversion_workflow_4.md,code_saved_as_markdown_doc,First line looks like source code: # TODO: change modes,"Do not keep as knowledge-base Markdown; remove, or move to a clearly named scripts/ocr_tools folder if code redistribution is intended. Cleaned in staging: duplicate/misplaced files removed or OpenAlex doc regenerated.",fixed_readme_cleanup_2026-06-16
cleanup_recommended,knowledge_base,knowledge_base/markdown_conversion_workflow_5.md,empty_file,0-byte file copied from OCR source package.,Remove from staging or replace with a concise public workflow note. Cleaned in staging: duplicate/misplaced files removed or OpenAlex doc regenerated.,fixed_readme_cleanup_2026-06-16
