source_group,run_id,source_filename,source_size_bytes,source_sha256,public_repository_file,public_copy_status,public_copy_transform,public_sha256
original_dis_chatflow_105,three_formulation_optimization__20260724_121108__rep01,transcript.json,77660,0856cdd11b029e247e15806a4000b66945065a2f51525dd972d24f861850ed2e,example_data/example_markdown_outputs/chatflow/methylene_blue/supplementary_target_response/original_dis_chatflow_105/rep01/transcript.public.json,public_safe_derivative,local paths and transient Dify download URLs removed; model prompts and answers preserved,06cd7cb3988a3f0e8c1e40325b12c48a8535af864be43d93e852aba7445fc9ba
original_dis_chatflow_105,three_formulation_optimization__20260724_121108__rep01,mechanism_answer.md,5927,028293829c8b20fa6f75a30f83e77d3abf56e6444c30655d85a45c7c67b815bf,example_data/example_markdown_outputs/chatflow/methylene_blue/supplementary_target_response/original_dis_chatflow_105/rep01/mechanism_answer.md,byte_identical_copy,none,028293829c8b20fa6f75a30f83e77d3abf56e6444c30655d85a45c7c67b815bf
original_dis_chatflow_105,three_formulation_optimization__20260724_121108__rep01,optimization_answer.md,5940,2b370996b2705f12034ed37f62b84610c968de7e0205cc3d4ec9bca2d634f043,example_data/example_markdown_outputs/chatflow/methylene_blue/supplementary_target_response/original_dis_chatflow_105/rep01/optimization_answer.public.md,byte_identical_copy,none,2b370996b2705f12034ed37f62b84610c968de7e0205cc3d4ec9bca2d634f043
original_dis_chatflow_105,three_formulation_optimization__20260724_121108__rep02,transcript.json,72584,f6924e02a74170be6e52c7f5f260fd1c46fb75350fdea1e6c0220253206cf91b,example_data/example_markdown_outputs/chatflow/methylene_blue/supplementary_target_response/original_dis_chatflow_105/rep02/transcript.public.json,public_safe_derivative,local paths and transient Dify download URLs removed; model prompts and answers preserved,0997caeac67675829c127223583ea601e05ee25476e5af8b8a65964af262daa8
original_dis_chatflow_105,three_formulation_optimization__20260724_121108__rep02,mechanism_answer.md,4845,aa33735dca29814b314fb3e6487f7f8eee35efef644becf049f6ba8a6684798c,example_data/example_markdown_outputs/chatflow/methylene_blue/supplementary_target_response/original_dis_chatflow_105/rep02/mechanism_answer.md,byte_identical_copy,none,aa33735dca29814b314fb3e6487f7f8eee35efef644becf049f6ba8a6684798c
original_dis_chatflow_105,three_formulation_optimization__20260724_121108__rep02,optimization_answer.md,5606,9d8f683591cfbb062e21fffb8ea93da51e1c30861b8880182e5d42429c75560e,example_data/example_markdown_outputs/chatflow/methylene_blue/supplementary_target_response/original_dis_chatflow_105/rep02/optimization_answer.public.md,byte_identical_copy,none,9d8f683591cfbb062e21fffb8ea93da51e1c30861b8880182e5d42429c75560e
original_dis_chatflow_105,three_formulation_optimization__20260724_121108__rep03,transcript.json,75136,b41712e1930f8e57c669fd28245894c2833074222559ea98005e67d0545ff62a,example_data/example_markdown_outputs/chatflow/methylene_blue/supplementary_target_response/original_dis_chatflow_105/rep03/transcript.public.json,public_safe_derivative,local paths and transient Dify download URLs removed; model prompts and answers preserved,3400b99dd238f62db7e9d72ccd4b6306f630112dcf46a45a90d1516ac2e16e51
original_dis_chatflow_105,three_formulation_optimization__20260724_121108__rep03,mechanism_answer.md,5187,34c323ad02d55426ca326c89f7b10b5626c71472fe551f0a2ccecfd3ac290fe5,example_data/example_markdown_outputs/chatflow/methylene_blue/supplementary_target_response/original_dis_chatflow_105/rep03/mechanism_answer.md,byte_identical_copy,none,34c323ad02d55426ca326c89f7b10b5626c71472fe551f0a2ccecfd3ac290fe5
original_dis_chatflow_105,three_formulation_optimization__20260724_121108__rep03,optimization_answer.md,5747,abc7b6ab3ce7e4110f2e99461c9c28cfb33b13a1ed38e5765f57fa9504127d98,example_data/example_markdown_outputs/chatflow/methylene_blue/supplementary_target_response/original_dis_chatflow_105/rep03/optimization_answer.public.md,byte_identical_copy,none,abc7b6ab3ce7e4110f2e99461c9c28cfb33b13a1ed38e5765f57fa9504127d98
tomo_mygo_adapted_110,three_formulation_optimization__20260724_151642__rep01,transcript.json,83187,d8be8d33bf25a6e062d5d44a74aef3dff9b0ec32dddc5ac2f484e6342516dd70,example_data/example_markdown_outputs/chatflow/methylene_blue/supplementary_target_response/tomo_mygo_adapted_110/rep01/transcript.public.json,public_safe_derivative,local paths and transient Dify download URLs removed; model prompts and answers preserved,e43afcdd2a85748eaac7bb62a6f06935fcf2078b36528cf78c4bc65070ab3c71
tomo_mygo_adapted_110,three_formulation_optimization__20260724_151642__rep01,mechanism_answer.md,10016,a40df91e29802ee61a4706e03b8008a62ea30b176e6b978f18ce2b2b485db72b,example_data/example_markdown_outputs/chatflow/methylene_blue/supplementary_target_response/tomo_mygo_adapted_110/rep01/mechanism_answer.md,byte_identical_copy,none,a40df91e29802ee61a4706e03b8008a62ea30b176e6b978f18ce2b2b485db72b
tomo_mygo_adapted_110,three_formulation_optimization__20260724_151642__rep01,optimization_answer.md,9524,fabb203db97d4a6c542abad286239ac4cbcdcb2245e03700da0c9955ccc4ad0d,example_data/example_markdown_outputs/chatflow/methylene_blue/supplementary_target_response/tomo_mygo_adapted_110/rep01/optimization_answer.public.md,public_safe_derivative,transient Dify download URL removed,07584012b5f99e0bae2192a13f5fc4ddfe9bae68a9feeba7b5e79fe322ca5116
tomo_mygo_adapted_110,three_formulation_optimization__20260724_151642__rep01,optimization_report.docx,41028,8fda03d32bef9387585bac1069ff4abf7b91dc1a5c5f1aa7168f87f4509cc362,example_data/example_markdown_outputs/chatflow/methylene_blue/supplementary_target_response/tomo_mygo_adapted_110/rep01/optimization_report.public.docx,public_safe_derivative,external local template relationship and creator metadata removed; visible text preserved,2e1a46641d9e83ed0881677a11d096a2bf237d58ca09e1a4d298cf2f375bf1f6
tomo_mygo_adapted_110,three_formulation_optimization__20260724_151642__rep02,transcript.json,88414,5d7bfccb1fd7f44709bfdc8d7a887ca5a341850508959148ff77a43ba91dc350,example_data/example_markdown_outputs/chatflow/methylene_blue/supplementary_target_response/tomo_mygo_adapted_110/rep02/transcript.public.json,public_safe_derivative,local paths and transient Dify download URLs removed; model prompts and answers preserved,ef767a665d55b7984446cd425de8465cfd22dbf3f62d055f52e5b75e73f9413d
tomo_mygo_adapted_110,three_formulation_optimization__20260724_151642__rep02,mechanism_answer.md,11144,be6baa2a77272f7929ec03e67375428eaa6da63026ff0208e7d12f95ff66f8e0,example_data/example_markdown_outputs/chatflow/methylene_blue/supplementary_target_response/tomo_mygo_adapted_110/rep02/mechanism_answer.md,byte_identical_copy,none,be6baa2a77272f7929ec03e67375428eaa6da63026ff0208e7d12f95ff66f8e0
tomo_mygo_adapted_110,three_formulation_optimization__20260724_151642__rep02,optimization_answer.md,10028,b7b88d242c29981a09298834956dcd6e1156c44954e31ba6978633b9aa32900c,example_data/example_markdown_outputs/chatflow/methylene_blue/supplementary_target_response/tomo_mygo_adapted_110/rep02/optimization_answer.public.md,public_safe_derivative,transient Dify download URL removed,7d54b07cc9cc69cff6bc9571b2d96d5ef47cdd2363a191463b26bcfe1f21ccfe
