relative_path,file_name,extension,status,read_error,size_bytes,drug_root_label,primary_drug_label,primary_pH_label,condition_folder,view_folder,variant_label,model_label,model_label_source,model_bucket,comparison_pair_id,reference_manufacturer_label,manufacturer_label,reference_batch_label,comparison_batch_label,batch_pair,comparison_scope,sample_replicate_id,left_replicate_id,right_replicate_id,repeat_group_base_key,repeat_group_model_key,repeat_observation_key,repeat_group_complete,repeat_group_consistency_status,repeat_group_consensus_verdict,potential_error_label,left_product_name,left_manufacturer_label,left_batch_label,right_product_name,right_manufacturer_label,right_batch_label,manufacturer_pair,verdict,verdict_raw,char_count,word_count,has_experiment_section,experiment_fields_expected,experiment_fields_present,experiment_completeness_pct,experiment_time_interval_present,experiment_other_conditions_present,has_image_analysis_section,image_analysis_block_count,dimension_coverage_count,dimension_coverage_pct,dimension_avg_words,dimension_generic_count,dimension_duplicate_count,dimension_detail_score_pct,has_mechanism_section,mechanism_hypothesis_count,mechanism_follow_up_item_count,mechanism_evidence_trace_count,reference_trace_level,possible_placeholder_reference,mechanism_score_pct,reference_verify_placeholder,has_final_report_section,comparison_table_present,comparison_table_rows,reason_keyword_count,evidence_link_count,judgment_basis_clear,reasoning_score_pct,structural_completeness_pct,overall_quality_score_pct
chat gpt/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1__vs__02-硝苯地平控释片30mg-易释-2506K003-Side-36h-750X-1__rep01/compare_answer.md,compare_answer.md,.md,ok,,8117,chat gpt,硝苯地平控释片30mg,,,,,ChatGPT,mapping_file,ChatGPT,01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1vs02-硝苯地平控释片30mg-易释-2506K003-Side-36h-750X-1-1,拜新同,易释,BJ86516,2506K003,BJ86516 vs 2506K003,cross_manufacturer,1,1,1,硝苯地平控释片30mg || 拜新同 vs 易释 || BJ86516 vs 2506K003,硝苯地平控释片30mg || 拜新同 vs 易释 || BJ86516 vs 2506K003 || ChatGPT,硝苯地平控释片30mg || 拜新同 vs 易释 || BJ86516 vs 2506K003 || 1,1,consistent,same,,硝苯地平控释片30mg,拜新同,BJ86516,硝苯地平控释片30mg,易释,2506K003,拜新同 vs 易释,same,same,7992,1218,0,6,0,0.0,0,0,0,0,8,100.0,0.0,0,0,55.0,1,0,0,0,none,0,0.0,0,1,0,0,0,0,0,0.0,50.0,35.75
chat gpt/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1__vs__02-硝苯地平控释片30mg-易释-2506K003-Side-36h-750X-1__rep02/compare_answer.md,compare_answer.md,.md,ok,,7116,chat gpt,硝苯地平控释片30mg,,,,,ChatGPT,mapping_file,ChatGPT,01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1vs02-硝苯地平控释片30mg-易释-2506K003-Side-36h-750X-1-2,拜新同,易释,BJ86516,2506K003,BJ86516 vs 2506K003,cross_manufacturer,2,1,2,硝苯地平控释片30mg || 拜新同 vs 易释 || BJ86516 vs 2506K003,硝苯地平控释片30mg || 拜新同 vs 易释 || BJ86516 vs 2506K003 || ChatGPT,硝苯地平控释片30mg || 拜新同 vs 易释 || BJ86516 vs 2506K003 || 2,1,consistent,same,,硝苯地平控释片30mg,拜新同,BJ86516,硝苯地平控释片30mg,易释,2506K003,拜新同 vs 易释,same,same,7003,1049,0,6,0,0.0,0,0,0,0,8,100.0,0.0,0,0,55.0,1,0,0,0,none,0,0.0,0,1,0,0,0,0,0,0.0,50.0,35.75
chat gpt/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1__vs__02-硝苯地平控释片30mg-易释-2506K003-Side-36h-750X-1__rep03/compare_answer.md,compare_answer.md,.md,ok,,8624,chat gpt,硝苯地平控释片30mg,,,,,ChatGPT,mapping_file,ChatGPT,01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1vs02-硝苯地平控释片30mg-易释-2506K003-Side-36h-750X-1-3,拜新同,易释,BJ86516,2506K003,BJ86516 vs 2506K003,cross_manufacturer,3,1,3,硝苯地平控释片30mg || 拜新同 vs 易释 || BJ86516 vs 2506K003,硝苯地平控释片30mg || 拜新同 vs 易释 || BJ86516 vs 2506K003 || ChatGPT,硝苯地平控释片30mg || 拜新同 vs 易释 || BJ86516 vs 2506K003 || 3,1,consistent,same,,硝苯地平控释片30mg,拜新同,BJ86516,硝苯地平控释片30mg,易释,2506K003,拜新同 vs 易释,same,same,8457,1351,0,6,0,0.0,0,0,0,0,8,100.0,0.0,0,0,55.0,1,0,0,0,none,0,0.0,0,1,0,0,0,0,0,0.0,50.0,35.75
chat gpt/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1__vs__03-硝苯地平控释片30mg-奈特-240419111-Side-36h-750X-1__rep01/compare_answer.md,compare_answer.md,.md,ok,,7672,chat gpt,硝苯地平控释片30mg,,,,,ChatGPT,mapping_file,ChatGPT,01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1vs03-硝苯地平控释片30mg-奈特-240419111-Side-36h-750X-1-1,拜新同,奈特,BJ86516,240419111,BJ86516 vs 240419111,cross_manufacturer,1,1,1,硝苯地平控释片30mg || 拜新同 vs 奈特 || BJ86516 vs 240419111,硝苯地平控释片30mg || 拜新同 vs 奈特 || BJ86516 vs 240419111 || ChatGPT,硝苯地平控释片30mg || 拜新同 vs 奈特 || BJ86516 vs 240419111 || 1,1,consistent,same,,硝苯地平控释片30mg,拜新同,BJ86516,硝苯地平控释片30mg,奈特,240419111,拜新同 vs 奈特,same,same,7553,1132,0,6,0,0.0,0,0,0,0,8,100.0,0.0,0,0,55.0,1,0,0,0,none,0,0.0,0,1,0,0,0,0,0,0.0,50.0,35.75
chat gpt/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1__vs__03-硝苯地平控释片30mg-奈特-240419111-Side-36h-750X-1__rep02/compare_answer.md,compare_answer.md,.md,ok,,7123,chat gpt,硝苯地平控释片30mg,,,,,ChatGPT,mapping_file,ChatGPT,01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1vs03-硝苯地平控释片30mg-奈特-240419111-Side-36h-750X-1-2,拜新同,奈特,BJ86516,240419111,BJ86516 vs 240419111,cross_manufacturer,2,1,2,硝苯地平控释片30mg || 拜新同 vs 奈特 || BJ86516 vs 240419111,硝苯地平控释片30mg || 拜新同 vs 奈特 || BJ86516 vs 240419111 || ChatGPT,硝苯地平控释片30mg || 拜新同 vs 奈特 || BJ86516 vs 240419111 || 2,1,consistent,same,,硝苯地平控释片30mg,拜新同,BJ86516,硝苯地平控释片30mg,奈特,240419111,拜新同 vs 奈特,same,same,6992,1054,0,6,0,0.0,0,0,0,0,8,100.0,0.0,0,0,55.0,1,0,0,0,none,0,0.0,0,1,0,0,0,0,0,0.0,50.0,35.75
chat gpt/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1__vs__03-硝苯地平控释片30mg-奈特-240419111-Side-36h-750X-1__rep03/compare_answer.md,compare_answer.md,.md,ok,,7973,chat gpt,硝苯地平控释片30mg,,,,,ChatGPT,mapping_file,ChatGPT,01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1vs03-硝苯地平控释片30mg-奈特-240419111-Side-36h-750X-1-3,拜新同,奈特,BJ86516,240419111,BJ86516 vs 240419111,cross_manufacturer,3,1,3,硝苯地平控释片30mg || 拜新同 vs 奈特 || BJ86516 vs 240419111,硝苯地平控释片30mg || 拜新同 vs 奈特 || BJ86516 vs 240419111 || ChatGPT,硝苯地平控释片30mg || 拜新同 vs 奈特 || BJ86516 vs 240419111 || 3,1,consistent,same,,硝苯地平控释片30mg,拜新同,BJ86516,硝苯地平控释片30mg,奈特,240419111,拜新同 vs 奈特,same,same,7819,1179,0,6,0,0.0,0,0,0,0,8,100.0,0.0,0,0,55.0,1,0,0,0,none,0,0.0,0,1,0,0,0,0,0,0.0,50.0,35.75
chat gpt/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1__vs__04-硝苯地平控释片30mg-欣适平-58-240203-Side-36h-750X-1__rep01/compare_answer.md,compare_answer.md,.md,ok,,8262,chat gpt,硝苯地平控释片30mg,,,,,ChatGPT,mapping_file,ChatGPT,01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1vs04-硝苯地平控释片30mg-欣适平-58-240203-Side-36h-750X-1-1,拜新同,欣适平,BJ86516,58,BJ86516 vs 58,cross_manufacturer,1,1,1,硝苯地平控释片30mg || 拜新同 vs 欣适平 || BJ86516 vs 58,硝苯地平控释片30mg || 拜新同 vs 欣适平 || BJ86516 vs 58 || ChatGPT,硝苯地平控释片30mg || 拜新同 vs 欣适平 || BJ86516 vs 58 || 1,1,consistent,same,,硝苯地平控释片30mg,拜新同,BJ86516,硝苯地平控释片30mg,欣适平,58,拜新同 vs 欣适平,same,same,8169,1218,0,6,0,0.0,0,0,0,0,8,100.0,0.0,0,0,55.0,1,0,0,0,none,0,0.0,0,1,0,0,0,0,0,0.0,50.0,35.75
chat gpt/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1__vs__04-硝苯地平控释片30mg-欣适平-58-240203-Side-36h-750X-1__rep02/compare_answer.md,compare_answer.md,.md,ok,,7316,chat gpt,硝苯地平控释片30mg,,,,,ChatGPT,mapping_file,ChatGPT,01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1vs04-硝苯地平控释片30mg-欣适平-58-240203-Side-36h-750X-1-2,拜新同,欣适平,BJ86516,58,BJ86516 vs 58,cross_manufacturer,2,1,2,硝苯地平控释片30mg || 拜新同 vs 欣适平 || BJ86516 vs 58,硝苯地平控释片30mg || 拜新同 vs 欣适平 || BJ86516 vs 58 || ChatGPT,硝苯地平控释片30mg || 拜新同 vs 欣适平 || BJ86516 vs 58 || 2,1,consistent,same,,硝苯地平控释片30mg,拜新同,BJ86516,硝苯地平控释片30mg,欣适平,58,拜新同 vs 欣适平,same,same,7177,1060,0,6,0,0.0,0,0,0,0,8,100.0,0.0,0,0,55.0,1,0,0,0,none,0,0.0,0,1,0,0,0,0,0,0.0,50.0,35.75
chat gpt/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1__vs__04-硝苯地平控释片30mg-欣适平-58-240203-Side-36h-750X-1__rep03/compare_answer.md,compare_answer.md,.md,ok,,8653,chat gpt,硝苯地平控释片30mg,,,,,ChatGPT,mapping_file,ChatGPT,01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1vs04-硝苯地平控释片30mg-欣适平-58-240203-Side-36h-750X-1-3,拜新同,欣适平,BJ86516,58,BJ86516 vs 58,cross_manufacturer,3,1,3,硝苯地平控释片30mg || 拜新同 vs 欣适平 || BJ86516 vs 58,硝苯地平控释片30mg || 拜新同 vs 欣适平 || BJ86516 vs 58 || ChatGPT,硝苯地平控释片30mg || 拜新同 vs 欣适平 || BJ86516 vs 58 || 3,1,consistent,same,,硝苯地平控释片30mg,拜新同,BJ86516,硝苯地平控释片30mg,欣适平,58,拜新同 vs 欣适平,same,same,8479,1347,0,6,0,0.0,0,0,0,0,8,100.0,0.0,0,0,55.0,1,0,0,0,none,0,0.0,0,1,0,0,0,0,0,0.0,50.0,35.75
chat gpt/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1__vs__05-硝苯地平控释片30mg-久保平-22400938-Side-36h-750X-1__rep01/compare_answer.md,compare_answer.md,.md,ok,,8604,chat gpt,硝苯地平控释片30mg,,,,,ChatGPT,mapping_file,ChatGPT,01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1vs05-硝苯地平控释片30mg-久保平-22400938-Side-36h-750X-1-1,拜新同,久保平,BJ86516,22400938,BJ86516 vs 22400938,cross_manufacturer,1,1,1,硝苯地平控释片30mg || 拜新同 vs 久保平 || BJ86516 vs 22400938,硝苯地平控释片30mg || 拜新同 vs 久保平 || BJ86516 vs 22400938 || ChatGPT,硝苯地平控释片30mg || 拜新同 vs 久保平 || BJ86516 vs 22400938 || 1,1,inconsistent,same,,硝苯地平控释片30mg,拜新同,BJ86516,硝苯地平控释片30mg,久保平,22400938,拜新同 vs 久保平,same,same,8437,1261,0,6,0,0.0,0,0,0,0,8,100.0,0.0,0,0,55.0,1,0,0,0,none,0,0.0,0,1,0,0,0,0,0,0.0,50.0,35.75
chat gpt/01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1__vs__05-硝苯地平控释片30mg-久保平-22400938-Side-36h-750X-1__rep02/compare_answer.md,compare_answer.md,.md,ok,,8117,chat gpt,硝苯地平控释片30mg,,,,,ChatGPT,mapping_file,ChatGPT,01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1vs05-硝苯地平控释片30mg-久保平-22400938-Side-36h-750X-1-2,拜新同,久保平,BJ86516,22400938,BJ86516 vs 22400938,cross_manufacturer,2,1,2,硝苯地平控释片30mg || 拜新同 vs 久保平 || BJ86516 vs 22400938,硝苯地平控释片30mg || 拜新同 vs 久保平 || BJ86516 vs 22400938 || ChatGPT,硝苯地平控释片30mg || 拜新同 vs 久保平 || BJ86516 vs 22400938 || 2,1,inconsistent,same,,硝苯地平控释片30mg,拜新同,BJ86516,硝苯地平控释片30mg,久保平,22400938,拜新同 vs 久保平,same,same,7983,1195,0,6,0,0.0,0,0,0,0,8,100.0,0.0,0,0,55.0,1,0,0,0,none,0,0.0,0,1,0,0,0,0,0,0.0,50.0,35.75
