"check_type","repo_path","status","original_path","copied_status","notes"
"manifest_non_copied_entry","","INFO","D:\Claude code\model-output-batch-analyzer\SKILL.md","skipped_excluded_review","Manifest entry records skipped/TODO/removed item, so file existence is not required."
"manifest_non_copied_entry","","INFO","D:\Claude code\model-output-batch-analyzer\references\label-extraction-rules.md","skipped_excluded_review","Manifest entry records skipped/TODO/removed item, so file existence is not required."
"manifest_non_copied_entry","","INFO","D:\Claude code\model-output-batch-analyzer\references\field-definitions.md","skipped_excluded_review","Manifest entry records skipped/TODO/removed item, so file existence is not required."
"manifest_non_copied_entry","","INFO","D:\new python\3d模型预测\数据整理与训练\split_md_for_dify_constraints.py","skipped_excluded_review","Manifest entry records skipped/TODO/removed item, so file existence is not required."
"manifest_non_copied_entry","","INFO","D:\new python\3d模型预测\数据整理与训练\split_md_for_dify.py","skipped_excluded_review","Manifest entry records skipped/TODO/removed item, so file existence is not required."
"manifest_non_copied_entry","","INFO","D:\Claude code\split_md_for_dify_constraints.py","skipped_excluded_review","Manifest entry records skipped/TODO/removed item, so file existence is not required."
"manifest_non_copied_entry","","INFO","D:\Claude code\model-output-batch-analyzer\nifedipine_multimodal_model_map.csv","skipped_excluded_review","Manifest entry records skipped/TODO/removed item, so file existence is not required."
"manifest_non_copied_entry","","INFO","D:\Claude code\model-output-batch-analyzer\agents\openai.yaml","skipped_excluded_review","Manifest entry records skipped/TODO/removed item, so file existence is not required."
"manifest_non_copied_entry","","INFO","D:\Claude code\.agents\skills\NEW_WORKFLOW_DSL.yml","skipped_excluded_review","Manifest entry records skipped/TODO/removed item, so file existence is not required."
"manifest_non_copied_entry","","INFO","D:\Claude code\model-output-batch-analyzer\references\bert-score.md","skipped_excluded_review","Manifest entry records skipped/TODO/removed item, so file existence is not required."
"manifest_non_copied_entry","","INFO","D:\Claude code\model-output-batch-analyzer\references\analysis-framework.md","skipped_excluded_review","Manifest entry records skipped/TODO/removed item, so file existence is not required."
"manifest_non_copied_entry","","INFO","D:\Claude code\model-output-batch-analyzer\README.md","skipped_excluded_review","Manifest entry records skipped/TODO/removed item, so file existence is not required."
"manifest_non_copied_entry","docs/reproducibility_notes.md","INFO","","todo_missing","Manifest entry records skipped/TODO/removed item, so file existence is not required."
"manifest_non_copied_entry","docs/skill_metric_definitions.md","INFO","","todo_missing","Manifest entry records skipped/TODO/removed item, so file existence is not required."
"manifest_non_copied_entry","knowledge_base/markdown_conversion_workflow.md","INFO","D:\data\markdown\DeepSeek-OCR-vllm\.ipynb_checkpoints\config-checkpoint.py","skipped_cache_review_removed_from_staging","Manifest entry records skipped/TODO/removed item, so file existence is not required."
"manifest_non_copied_entry","knowledge_base/markdown_conversion_workflow_13.md","INFO","D:\data\markdown_sanitized\volume-001.md","skipped_copyright_review_removed_from_staging","Manifest entry records skipped/TODO/removed item, so file existence is not required."
"manifest_non_copied_entry","knowledge_base/markdown_conversion_workflow_14.md","INFO","D:\data\markdown_sanitized\volume-002.md","skipped_copyright_review_removed_from_staging","Manifest entry records skipped/TODO/removed item, so file existence is not required."
"manifest_non_copied_entry","knowledge_base/markdown_conversion_workflow_15.md","INFO","D:\data\markdown_sanitized\volume-003.md","skipped_copyright_review_removed_from_staging","Manifest entry records skipped/TODO/removed item, so file existence is not required."
"manifest_non_copied_entry","knowledge_base/markdown_conversion_workflow_16.md","INFO","D:\data\markdown_sanitized\volume-004.md","skipped_copyright_review_removed_from_staging","Manifest entry records skipped/TODO/removed item, so file existence is not required."
"manifest_non_copied_entry","knowledge_base/markdown_conversion_workflow_17.md","INFO","D:\data\markdown_sanitized\volume-005.md","skipped_copyright_review_removed_from_staging","Manifest entry records skipped/TODO/removed item, so file existence is not required."
"manifest_non_copied_entry","knowledge_base/markdown_conversion_workflow_18.md","INFO","D:\data\markdown_sanitized\volume-006.md","skipped_copyright_review_removed_from_staging","Manifest entry records skipped/TODO/removed item, so file existence is not required."
"manifest_non_copied_entry","knowledge_base/markdown_conversion_workflow_19.md","INFO","D:\data\markdown_sanitized\volume-007.md","skipped_copyright_review_removed_from_staging","Manifest entry records skipped/TODO/removed item, so file existence is not required."
"manifest_non_copied_entry","knowledge_base/markdown_conversion_workflow_2.md","INFO","D:\data\markdown\DeepSeek-OCR-vllm\.ipynb_checkpoints\run_dpsk_ocr_image-checkpoint.py","skipped_cache_review_removed_from_staging","Manifest entry records skipped/TODO/removed item, so file existence is not required."
"manifest_non_copied_entry","knowledge_base/markdown_conversion_workflow_20.md","INFO","D:\data\markdown_sanitized\volume-008.md","skipped_copyright_review_removed_from_staging","Manifest entry records skipped/TODO/removed item, so file existence is not required."
"manifest_non_copied_entry","knowledge_base/markdown_conversion_workflow_21.md","INFO","D:\data\markdown_sanitized\volume-009.md","skipped_copyright_review_removed_from_staging","Manifest entry records skipped/TODO/removed item, so file existence is not required."
"manifest_non_copied_entry","knowledge_base/markdown_conversion_workflow_22.md","INFO","D:\data\markdown_sanitized\volume-010.md","skipped_copyright_review_removed_from_staging","Manifest entry records skipped/TODO/removed item, so file existence is not required."
"manifest_non_copied_entry","knowledge_base/markdown_conversion_workflow_23.md","INFO","D:\data\markdown_sanitized\volume-011.md","skipped_copyright_review_removed_from_staging","Manifest entry records skipped/TODO/removed item, so file existence is not required."
