model,run_id,color_change,shape_change,surface_texture_change,volume_change,dissolution_speed_time,physical_state_change,dissolution_medium,fragment_distribution_density,bertscore_f1,output_text,color_change_present,shape_change_present,surface_texture_change_present,volume_change_present,dissolution_speed_time_present,physical_state_change_present,dissolution_medium_present,fragment_distribution_density_present,completed_dimensions,completion_rate_pct
GPT-5-mini,run1,1,1,1,1,1,1,1,1,0.91,dummy nifedipine output gpt run one complete,1,1,1,1,1,1,1,1,8,100.0
GPT-5-mini,run2,1,1,1,1,1,1,1,1,0.92,dummy nifedipine output gpt run two complete,1,1,1,1,1,1,1,1,8,100.0
GPT-5-mini,run3,1,1,1,1,1,1,1,1,0.9,dummy nifedipine output gpt run three complete,1,1,1,1,1,1,1,1,8,100.0
Qwen3.6-plus,run1,1,1,1,1,1,1,1,1,0.88,dummy nifedipine output qwen run one complete,1,1,1,1,1,1,1,1,8,100.0
Qwen3.6-plus,run2,1,1,1,1,1,1,1,0,0.87,dummy nifedipine output qwen run two nearly complete,1,1,1,1,1,1,1,0,7,87.5
Qwen3.6-plus,run3,1,1,1,1,1,1,1,1,0.89,dummy nifedipine output qwen run three complete,1,1,1,1,1,1,1,1,8,100.0
GLM-4.6V,run1,1,1,1,1,1,1,0,1,0.84,dummy nifedipine output glm run one,1,1,1,1,1,1,0,1,7,87.5
GLM-4.6V,run2,1,1,1,1,1,1,1,1,0.85,dummy nifedipine output glm run two,1,1,1,1,1,1,1,1,8,100.0
GLM-4.6V,run3,1,1,1,0,1,1,1,1,0.83,dummy nifedipine output glm run three,1,1,1,0,1,1,1,1,7,87.5
Kimi-K2.5,run1,1,1,0,1,1,1,1,1,0.8,dummy nifedipine output kimi run one,1,1,0,1,1,1,1,1,7,87.5
Kimi-K2.5,run2,1,1,1,1,1,0,1,1,0.81,dummy nifedipine output kimi run two,1,1,1,1,1,0,1,1,7,87.5
Kimi-K2.5,run3,1,1,1,1,1,1,1,1,0.82,dummy nifedipine output kimi run three,1,1,1,1,1,1,1,1,8,100.0
