model,model_display_name,drug,run_id,source_folder,source_file,dimension,dimension_display_name,present,content,content_length
gpt-5-mini,GPT-5-mini,nifedipine,01_vs_01_rep01,chat gpt,01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1vs01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1-1.docx,color_change,Color change,1,"Compared with the previous frame, the tablet shows increased exposure of a yellow inner layer (localized dome on top and yellow staining on the upper side) while the original pink outer coating has been eroded into loose pink powder that accumulates at the base. Color change is localized to the tablet and immediate vicinity (pink powder ring, yellow dome and yellow residues on the rim); the bulk dissolution medium remains visually dark/clear with only small bright bubbles/particles near the tablet rather than a diffused color throughout the vessel.

---

The tablet shows a two-tone appearance: a pink/red core with a bright yellow-green fluffy layer on top. Compared to the previous frame the yellow region has spread slightly laterally and appears marginally more intense (more area covered), while the pink core remains visible. There is no noticeable coloration of the bulk medium - color release is localized to the tablet surface and the immediate powder pile at the base (no diffuse yellowing of the surrounding liquid or background).

---

Overall bulk colors (red/orange core with a yellow-green top coating and pink powder at the base) are preserved relative to the previous frame. The most notable color redistribution at the current timepoint is a small increase in exposed orange material (a detached orange fragment visible above the tablet) and slightly more yellow-green coating material smeared toward the upper side walls. No diffuse coloration of the surrounding medium is observed - color change is localized to the tablet surface and the immediate powder halo.

---

Tablet remains dominantly orange-red with a persistent white powdery layer and small yellow/beige cores on the top. Compared with the previous frame, there is noticeably more diffuse red/orange material released around the tablet - the red pigment has formed a dense, fuzzy cloud and a laterally spreading red layer at the tablet base. The color release is localized around the tablet (halo and upward/forward plume) rather than uniformly tinting the whole vessel.

---

Compared with the previous frame, the tablet shows an increased exposure of yellow material at the top while the original pink outer layer is losing pigment and producing pink powder at the base. Color is now bi-modal (yellow dome + remaining pink ring) rather than predominantly pink. The medium remains visually colorless/clear - color from the tablet is localized near the tablet and as a concentrated ring of suspended/settled pink powder immediately around the tablet rather than diffused throughout the entire vessel.

---

Tablet shows a two-tone appearance: red/orange core with a yellow-green, powdery/foamy layer developing on the crown. Compared with the previous frame, the yellow-green layer appears slightly more extensive and slightly greener in places; there is no visible color diffusion into the surrounding medium - the vessel remains optically clear/black in the background. No overall medium coloration or large cloud of dissolved pigment is observed; color change is localized on the tablet surface.

---

Top-of-tablet colours remain strongly localized: a yellow-green hydrated/soft layer sits on the tablet crown while the core body stays red/orange and a pink powder ring accumulates at the base. There is no visible colour diffusion into the surrounding medium - colour change is local to the tablet surface and freshly detached powder.

---

The tablet and released material are strongly orange-red. Compared with the previous frame, the red color is more diffuse and extended laterally - a dense red cloud now occupies the right/lower quadrant in front of the tablet. The tablet top still shows a white/pale crust with small yellow-green specks that remain localized to the tablet surface; however the orange pigment that was previously confined to the tablet body is now spreading into the surrounding area.",3901
gpt-5-mini,GPT-5-mini,nifedipine,01_vs_01_rep01,chat gpt,01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1vs01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1-1.docx,shape_change,Shape change,1,"The overall outline has become more irregular versus the previous frame: the once-regular cylindrical outline is now eroded at the rim with a bulging yellow dome on top and missing material around the edge. Progression is intact → partial rim loss and delamination → irregular remnant with asymmetric top bulge and loose fragments at the base.

---

Overall cylindrical outline of the tablet base is still intact, but the upper profile is more irregular than in the previous frame. The most critical change versus the previous timepoint is increased irregularity of the top surface (the yellow layer has become more spread and ragged), indicating continued breakdown of the original smooth crown into an irregular, porous cap rather than complete fragmentation into many large pieces.

---

The tablet core remains essentially cylindrical and largely intact, but compared with the previous frame there is a clear discrete fragmentation event: a small, nearly cylindrical/orbicular piece has detached and is now separated above the tablet surface. The overall outline of the main tablet is still continuous (no complete break-up), but the top profile is more irregular where material has been lost.

---

The original cylindrical outline is still partially recognizable but is progressively losing definition. Compared with the previous frame the critical change is a larger lateral smear and loss of a clean lower edge - the tablet is transitioning from an intact/partially eroded disk to a central core with an irregular surrounding mass and an extended plume. No numerous large discrete fragments are evident; instead the solid is breaking into a cohesive smear and fine particulate cloud.

---

The overall cylindrical outline is still recognizable but more irregular than the previous frame: the top now has a raised yellow dome and the peripheral rim is eroded. The tablet has progressed from mostly intact to partially missing outer material and emerging irregular fragments; the critical change vs the previous frame is further rim erosion and a clearer pyramidal/peaked top rather than a smooth cap.

---

The overall circular outline of the tablet base remains largely intact (no full breakup into major fragments), but the rim and top profile have become more irregular. Compared to the previous timepoint there is incremental loss of a defined crisp edge at the top rim and small pieces of the coating/material have detached, producing a ragged silhouette rather than a perfectly rounded cap.

---

Overall cylindrical outline of the tablet is still present but no longer a single smooth disk - the rim is eroded and small chunks have separated. Compared with the previous frame the critical change is a discrete detached pellet/fragment that is now separated above the tablet (an ejection event); prior to that the tablet was intact aside from rim erosion. The progression is intact → rim erosion and powdering → discrete fragment detachment/ejection.

---

The tablet core remains largely recognizable as a rounded disk, but the outline is becoming irregular. Compared to the previous timepoint the right flank has lost a clearer boundary and a large, arching filament of particulate material has formed and bent over the tablet; the overall shape has progressed from an intact/partially eroded disk toward a disk with an extended, trailing plume and smeared lateral fragments.",3390
gpt-5-mini,GPT-5-mini,nifedipine,01_vs_01_rep01,chat gpt,01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1vs01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1-1.docx,surface_texture_change,Surface texture change,1,"Surface roughness has increased relative to the previous image. The outer surface shows more flaky/crusty powder and a crumbly texture at the rim; the yellow region looks smoother and swollen/pasty in contrast to the coarse pink debris. Small adherent bubbles and fine particulate on the surface are new compared to the prior frame.

---

Surface texture has become fuzzier and more porous compared with the previous frame: the yellow top appears more granular/flocculent and small surface particles are more apparent. The previously smoother rim shows increased micro-roughness and more discrete powdering; no large cracks are visible but the surface is clearly transitioning from compact to friable.

---

Surface has become visibly more granular and rough relative to the previous image; the top coating shows a loose, crumbly texture with fine particles and small clumps. Edges of the top layer appear eroded with micro-flaky debris; the side wall remains textured with adhered granules. The largest change versus the prior frame is the appearance of loosened granules and a disrupted top crust where the fragment separated.

---

Surface has evolved from visibly granular to a very fuzzy, fibrous appearance where particles are suspended in a plume. The white top layer remains crumbly, but the sidewalls now exhibit a wet-looking, matte-to-fuzzy texture with many fine particles detaching. Compared to the prior frame there is increased surface disaggregation (more fine particulate suspension and a softer, fuzz-like exterior).

---

Surface has become much rougher versus the previous frame: granular, chalky powdering at the edges and a visibly friable texture where the pink coating has sloughed off. Small clumps and a discontinuous crust are present; the yellow region appears smoother but still porous. No large cracks are visible, but progressive granular disintegration is obvious compared to the prior image.

---

Surface has transitioned from smooth-coated to rough/crusty with a granular, fluffy appearance on the crown. Small crystalline/granular deposits and fine powder adhere to the sides and top. Relative to the previous image the crown texture is slightly more fibrillar/crumbly and the fine powder coating on the sidewall is denser - more high-frequency roughness and visible friable particles.

---

Surface texture has become markedly granular and flaky compared with the previous frame. The crown shows a softer, crumbly, almost flock-like yellow/green layer and many small high-contrast granules on the red body indicate surface break-up and flaking. New loose powder and roughness are visibly increased relative to the prior image.

---

Surface texture has become much fuzzier and granular. The previous frame showed a relatively rough but compact surface; the current frame shows increased fluffy, fibrous appearance at the emerging plume and more powdery erosion at the tablet rim. The white crust on top appears more crumbly with exposed yellow-green granules.",2996
gpt-5-mini,GPT-5-mini,nifedipine,01_vs_01_rep01,chat gpt,01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1vs01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1-1.docx,volume_change,Area/size change,1,"Net material at the original cylinder footprint appears reduced (base material has sloughed off into a surrounding powder mound) while the top shows a localized swelling (yellow dome). Overall occupied solid mass is decreasing laterally even though the top shows a small swollen protrusion.

---

Projected height and overall occupied footprint are approximately stable but the top has flattened slightly as the yellow material spreads - this suggests limited net volume loss so far with redistribution (slight collapse/settling of the top layer) rather than a large decrease in total volume between the two frames.

---

Projected area and apparent height of the main core remain approximately constant - no gross swelling or collapse is evident. However there is a slight reduction of material at the top (local loss of coating) consistent with a small net decrease in tablet volume at the topmost region compared to the previous frame.

---

Projected height of the central core is roughly maintained but the lateral projected volume has increased substantially as red material spreads outwards. Compared with the previous frame, the most important trend is lateral expansion (apparent loss of compactness) rather than a marked reduction in central height - the tablet appears to be collapsing outward into a thin, spreading mass.

---

Projected volume appears marginally reduced at the base (loss of material into powder) while the top shows a local bulge (yellow dome) - net apparent height is similar or slightly increased locally but bulk mass near the base is reduced by erosion. Overall trend since earlier frames is outer-layer mass loss (decreasing effective volume of the compact ring) with local swelling/extrusion at the core/top.

---

Projected height and gross volume of the solid core appear approximately conserved; however there is clear net mass redistribution from the tablet into a ring of loose powder at the base. There is no obvious swelling-then-collapse behavior visible here - the dominant qualitative trend is surface erosion and loss of cohesive volume into a surrounding powder bed rather than a dramatic shrinkage of the core.

---

Projected volume of the main tablet body is approximately similar to the previous frame, but there is a small net loss of material from the crown (seen as powder at the base and the detached fragment). No evidence of a prior swelling-then-collapse cycle at this stage; trend is slow net material loss with local collapse at the crown.

---

Projected height of the central disk is similar or slightly reduced while the lateral projected area has increased substantially. Relative to the previous frame the tablet has redistributed mass outward - apparent local volume at the core is decreasing while a low-profile, high-area cloud/film of material has formed on the surface and along the substrate.",2865
gpt-5-mini,GPT-5-mini,nifedipine,01_vs_01_rep01,chat gpt,01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1vs01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1-1.docx,dissolution_speed_time,Dissolution speed over time,1,"Disintegration is ongoing. Compared with the previous frame there is no single catastrophic breakup but continued surface erosion and increased powder shedding - i.e., steady erosion rather than a sudden acceleration event. The most critical change is increased rim delamination and powder release with concurrent appearance of surface bubbles.

---

Disintegration/dissolution appears ongoing but not rapidly accelerating at this point. Compared to the previous frame the process shows steady continuation (spreading of top material and more adhered bubbles) rather than a sudden fragmentation event; therefore the instantaneous rate is moderate and likely decelerating compared with earlier stage(s) in the sequence.

---

Relative to the previous timepoint, disintegration is showing a momentary acceleration marked by a sudden detachment of a discrete fragment. Prior to this the tablet appeared to be eroding slowly; the current frame indicates a stage-wise jump (local mechanical/structural failure) rather than a steady slow dissolution.

---

Disintegration appears to be accelerating at the current timepoint relative to the previous frame: particle shedding and plume density have increased and a rapid lateral spread of material is evident. The sequence suggests a stage-wise shift from slow surface erosion to faster bulk surface breakdown and mass sloughing at this interval.

---

Disintegration rate appears to be steady to slightly accelerating at this timepoint compared with the previous frame: more powder has detached and the rim shows increased material loss. The most critical change is faster peripheral erosion and increased particulate release since the previous image, indicating a burst/accelerated erosion stage.

---

Disintegration is proceeding steadily but not explosively. Compared with the previous frame, the rate of visible particle detachment and powder accumulation at the base has increased slightly but remains gradual - no sudden fragmentation or rapid turbidity spike is seen between these two frames. The most critical change is incremental increase in powder release and surface fracturing.

---

Disintegration rate appears to have accelerated at this time point compared with the immediately previous image - the most critical change is the sudden detachment/ejection of a fragment, accompanied by increased powder at the base. This indicates a stage-wise step: steady surface erosion followed by a sudden fragmentation event.

---

Disintegration appears to be accelerating at this timepoint: the amount of loose particulate and the extent of the red cloud increased markedly compared to the previous image, indicating a rapid release/erosion phase rather than steady slow dissolution.",2732
gpt-5-mini,GPT-5-mini,nifedipine,01_vs_01_rep01,chat gpt,01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1vs01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1-1.docx,physical_state_change,Physical state change,1,"The tablet interior/top appears to transition toward a looser, more paste-like/swollen state (yellow region) while the outer layer has become friable granular powder. The structure is becoming looser and partially collapsed at the rim compared with the previous frame.

---

The top layer is transitioning from a compact coating to a loose, swollen/flocculent mass (soft porous aggregate). There is no complete transition to a paste or fully suspended fine-particle cloud yet - instead the internal structure at the surface is loosening and producing free powder that accumulates at the base.

---

Top layer is transitioning from a cohesive coating to a looser, powdery/granular state; internal core remains solid and intact. The critical change vs the previous frame is a local transition to detached solid granule(s) (one larger fragment plus many fine particulates) indicating localized structural breakdown rather than full gelation or complete collapse.

---

There is a clear transition from a solid/granular tablet to a loosened, partially cohesive, paste-like/very fine particulate state. Compared with the prior frame the internal structure appears looser and more disrupted, with formation of a fluffy plume and a wet-like smear indicating partial conversion to a slurry or highly hydrated particulate mass.

---

The solid surface is transitioning to a loose, friable granular state at the exterior while the interior/top region is swollen or softened (yellow, dome-like). Internal structure is becoming looser with clear structural breakdown at the outer layer - the tablet is moving from compact solid toward a two-phase state (soft/swollen core + particulate crust).

---

The tablet interior surface is becoming looser and more friable; the crown shows a transition toward a crumbly, sponge-like aggregate. The material appears to be breaking down into coarse powder and small granules rather than converting into a fully gel-like or pasty state at this timepoint.

---

The tablet surface has transitioned from a cohesive solid to a looser, crumbly/particulate state at the crown. The detached fragment and abundant powder show conversion to discrete solid particles rather than a homogeneous gel or paste; internal structure appears more porous and mechanically weakened.

---

The dominant change is solid → dispersed particulate/fuzzy aggregate. The tablet interior still shows solid granules (yellow-green beads), but much of the outer material has transitioned to loose, airborne/suspended micro-particles or a fluffy paste-like layer; there is no indication of a clear gel - instead a dry/colloidal particulate cloud is forming.",2651
gpt-5-mini,GPT-5-mini,nifedipine,01_vs_01_rep01,chat gpt,01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1vs01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1-1.docx,dissolution_medium,Dissolution medium,1,"The medium remains largely clear; however, there are more small suspended bubbles and very local suspended particles around the tablet compared with the prior frame. No large-scale turbidity or cloud-like dispersion is visible - changes are spatially localized near the tablet surface.

---

The background medium remains optically clear (black backdrop + clear liquid appearance) with only a few small suspended specks visible. There is no large-scale turbidity or colored clouding; particulates are confined near the tablet. Given the neutral observation, the medium does not show evidence of bulk saturation or widespread particle dispersion at this time.

---

The background/medium remains visually clear (black background) with no obvious turbidity or coloration spreading into the bulk medium. All particulate matter is confined near the tablet; there is no visible clouding or streaking in the surrounding medium compared to the previous frame.

---

The background medium is visually dark (no overall coloration of the vessel), but locally the immediate medium around the tablet shows dense suspended red particles (cloud/plume) and a turbid-looking layer at the base. Compared with the previous frame local turbidity and suspended particle density have increased; there is no evidence that the entire vessel is uniformly tinted yet - effects remain spatially concentrated.

---

The bulk medium remains visually clear/black background in the frame; turbidity is localized to a dense cloud of pink powder immediately adjacent to the tablet surface and some small suspended particles/bubbles around the tablet. There is no large scale coloration of the medium - suspended particles are concentrated near the tablet suggesting limited dispersion so far.

---

The medium (visual field) remains clear with no large-scale turbidity or colored clouding. Small adherent air/solution bubbles cling to the tablet surface; otherwise there are no streaks, precipitation bands, or suspended clouds visible. The clear medium suggests limited release of colored soluble species into the bulk (color effects are localized at the tablet surface).

---

The surrounding medium (visible background and vessel surface) remains visually clear and black in the images; there is no detectable turbidity or colouration spreading into the medium. Released material remains as visible particulate/powder on the vessel surface rather than dispersed as a diffuse cloud.

---

The background is dark (no visible colored bulk solvent); turbidity is manifested as a local red particulate cloud rather than uniform medium coloration. Compared with the previous frame the particulate cloud density and spatial extent in the medium/substrate interface increased, producing a continuous red smear over the grid surface.",2795
gpt-5-mini,GPT-5-mini,nifedipine,01_vs_01_rep01,chat gpt,01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1vs01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1-1.docx,fragment_distribution_density,Fragment distribution density,1,"Fragments remain concentrated around the original tablet position, forming a dense ring of pink powder at the base and some adhered fines on the tablet side. Fragment count/visible powder density has increased since the previous frame but fragments are still locally confined rather than uniformly dispersed across the vessel.

---

Fragments and fines are concentrated around the tablet base in a localized powder halo; fragment density appears slightly increased relative to the previous frame (more fine powder piled at the contact plane), but fragments remain coarse-to-fine and clustered rather than uniformly dispersed. A few adhered bubbles on the tablet edge are larger in the current frame, but there is no widespread suspension of many small fragments throughout the vessel.

---

Fragments remain concentrated around the tablet base and top: a rim of pink powder at the base and multiple fine particles on the tablet flank. Compared with the previous timepoint, fragment density at the very top has increased (appearance of a detached orange piece), while lateral spread is still localized - no uniform dispersion throughout the vessel. Particle sizes range from fine powder to a single distinct larger fragment visible above the tablet.

---

Fragments are concentrated at and just outside the original tablet perimeter: a dense bed of fine powder beneath the tablet and a thick cloud/plume up and away from the core. Compared with the previous frame fragment density has increased (more fine particulates in the plume and a broader lateral dispersion). There are many fine particles rather than a few large chunks; some sedimentation is visible directly under the tablet while a higher-density suspended region sits adjacent to it.

---

Fragmentation is concentrated at the tablet perimeter: a ring/patch of fine pink powder and small clumps sits on the support surface around the tablet. Fragment density near the tablet has increased since the previous frame (more powder and larger clumps), but fragments are not yet uniformly dispersed in the vessel. Few discrete larger particles are visible; most material is fine, high local density at the base.

---

Detached fragments and powder are concentrated at the tablet base forming a circumferential pile; few small particles adhere to the sidewalls. Compared with the previous image the pile at the base is marginally larger and denser, with more fine dust present. Fragments are not yet uniformly dispersed in the vessel - high local particle density at the base vs near-zero density elsewhere.

---

Fragments and powder are concentrated immediately around the tablet base forming a ring of pink powder; particle density at the tablet perimeter has increased since the previous frame. A single larger fragment is now detached and suspended above the tablet centre (newly formed), while smaller granules remain locally clustered rather than uniformly dispersed across the field.

---

Fragments and powder are concentrated immediately around the tablet base and spreading to the right; fragment density near the tablet perimeter has increased since the previous frame (more fine particles and a denser cloud). There is a clear local accumulation on the substrate beneath and ahead of the tablet rather than a uniform dispersion across the field.",3312
gpt-5-mini,GPT-5-mini,nifedipine,01_vs_01_rep02,chat gpt,01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1vs01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1-2.docx,color_change,Color change,1,"Tablet shows a clear two-tone transition: original pink outer coat is partially lost and a yellow inner layer is exposed at the top and upper side. Color change is highly localized to the tablet surface and immediately adjacent medium (pink powder around the base, yellow smear on the top). The surrounding medium remains largely dark/clear except for a local cloud of fine pink/yellow particulates and a few adhered clear bubbles; no diffuse coloration throughout the whole bath is visible.

---

Tablet exhibits a red core with a growing yellow-green fuzzy layer on the top and upper rim. Compared with the previous frame, the yellow/green discoloration is slightly more extensive and slightly more diffuse down the sides (localized to the top/upper edge rather than spread uniformly through the medium). The bulk medium remains visually dark/clear; color change is confined to the tablet and near-tablet particulate cloud.

---

Tablet body remains a saturated red/orange while the tablet crown is covered by a yellow-to-green powdery deposit; loose pink powder has accumulated around the base. Coloration is strongly localized to the tablet (top surface and immediate surround) - the black background shows no sign of medium discoloration or diffuse staining. Compared with the previous frame (earlier in this same window) the yellow/green topping appears slightly more exposed and the pink rim of powder at the base is more developed (more loose pink material present).

---

Tablet retains an orange-red core color with a persistent pale/white crust and small yellowish granules on the top surface. Compared with the immediately previous frame, there is a clear increase in orange-red material dispersed outside the tablet (a denser red cloud and a more extensive red-orange smear on the substrate). The discoloration is highly localized around the tablet and in the expelled particulate cloud rather than uniformly diffused through the bulk medium (background remains dark).

---

Initial uniform pale-pink coating is now heterogeneous: a bright yellow zone has developed on the top dome while the original pink remains on the sides and as loose powder at the base. Color change is localized to the tablet surface (top yellowing) and immediate vicinity (pink powder ring) rather than diffused throughout the medium. The surrounding medium remains visually clear apart from small adhered bubbles and very near-tablet suspended particulates.

---

The tablet core retains a reddish-pink color while a bright yellow-to-green, fuzzy layer has formed and spread over the top and upper side walls. The color change is strongly localized to the tablet surface (top and upper rim) and to the powder deposits at the base; there is no visible color wash or diffuse tinting of the surrounding medium. Small reflective air bubbles sit on the yellow layer and at the rim, emphasizing wetted areas.

---

Tablet body remains reddish-orange with a distinct yellow-green, powdery/crumbly deposit crowning the top. Coloration is highly localized to the tablet surface and crown; there is no visible discoloration diffused through the surrounding medium. Compared with the previous frame, the yellow-green crown area appears slightly more dispersed and a few more tiny colored particles are present around the top and on the base pile.

---

Tablet and released material are strongly red/orange; a pale white crust with small yellowish granules remains on the tablet top. The red color is concentrated as a dense cloud immediately around and downstream of the tablet rather than diffused through the whole field. Compared with the previous frame, the red turbidity adjacent to the tablet has increased markedly (larger, denser red plume and more pink powder on the substrate).",3765
gpt-5-mini,GPT-5-mini,nifedipine,01_vs_01_rep02,chat gpt,01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1vs01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1-2.docx,shape_change,Shape change,1,"Overall circular outline is still recognizable but has become irregular: the top center forms a raised yellow bulge and the tablet rim is eroded. The shape has progressed from intact (earlier frames) to partially missing material at the perimeter and small detached lumps at the base - i.e., intact → rim erosion → localized fragmentation.

---

Overall circular disk outline remains intact (no full break-up into large pieces). Compared to the prior frame, the tablet edge shows increased edge erosion and loss of fine material (more irregular micro-contours) but not large fragment separation - the primary change is progressive surface loss rather than fragmentation into multiple macroscopic pieces.

---

The main cylindrical outline of the tablet is still essentially intact, but the top profile is irregular and eroded. There is evidence of local material loss from the crown and rim (top edge more ragged). Compared with the previous frame the most critical change is the appearance/launching of a separate small fragment above the tablet (visible in the current/rightmost frame) and an increase in rim irregularity - i.e., transition from intact-with-erosion → active fragmentation.

---

The original cylindrical/rounded outline is still identifiable but is actively losing definition at the top and at the right flank. Compared with the previous frame the tablet shows more pronounced lateral collapse and outward spread: a previously compact right-side rim has transformed into an extended, flattened smear and a vertical/arched plume has become more pronounced, indicating transition from intact → partially missing → formation of many fine fragments.

---

Tablet outline has evolved from a regular cylinder to an eroded, irregular shape. The top has developed a raised, rounded yellow dome; the side edges show loss of the original crisp rim and the base exhibits partial collapse and material detachment. Progression compared with the prior frame: intact cylindrical geometry → noticeable rim erosion and base material loss with small fragments accumulating around the tablet.

---

The overall cylindrical outline is still present (no complete break-up), but the original smooth rim is becoming irregular: the top shows a central bulge and several lobed protrusions of the yellow mass, and the upper edge has shallow notches. Progression: intact cylinder → softened/irregular rim with localized material loss; there are not yet multiple detached large fragments, only surface flaking and loss into a powder ring. Compared with the previous frame, the rim is slightly more ragged and the top bulge is more pronounced.

---

Overall cylindrical outline of the core is still preserved, but the top rim has become irregular and eroded into an uneven mound. Progression is intact → partially missing at the top → generation of detached fragments (small pellet observed). The most critical change vs the previous time point is the appearance/ejection of a distinct small fragment rising above the tablet, indicating an active fragmentation event.

---

The original circular tablet outline is still partially discernible but is losing a clear rim - lateral material loss has produced an irregular skirt and an extended plume. Progression: intact disc → disc with eroding rim → pronounced lateral spreading and detached plume. The most critical change vs the previous image is increased lateral fragmentation and a much larger, continuous plume of detached material.",3476
