model,model_display_name,drug,comparison_id,run_id_1,run_id_2,source_file_1,source_file_2,pairwise_similarity,similarity_method,notes,model_raw_for_mapping,model_order,replicate_definition,panel,plotted_value
GPT-5.5,GPT-5-mini,nifedipine,01_vs_01,01_vs_01_rep01,01_vs_01_rep02,01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1vs01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1-1.docx,01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1vs01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1-2.docx,0.058857,lexical_no_reference,BERTScore skipped because no predefined reference answer was provided; lexical similarity used.,GPT-5-mini,0,Each point is one pairwise comparison between repeated outputs from the same model.,b,pairwise_similarity
GPT-5.5,GPT-5-mini,nifedipine,01_vs_01,01_vs_01_rep01,01_vs_01_rep03,01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1vs01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1-1.docx,01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1vs01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1-3.docx,0.030857,lexical_no_reference,BERTScore skipped because no predefined reference answer was provided; lexical similarity used.,GPT-5-mini,0,Each point is one pairwise comparison between repeated outputs from the same model.,b,pairwise_similarity
GPT-5.5,GPT-5-mini,nifedipine,01_vs_01,01_vs_01_rep02,01_vs_01_rep03,01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1vs01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1-2.docx,01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1vs01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1-3.docx,0.020857,lexical_no_reference,BERTScore skipped because no predefined reference answer was provided; lexical similarity used.,GPT-5-mini,0,Each point is one pairwise comparison between repeated outputs from the same model.,b,pairwise_similarity
GPT-5.5,GPT-5-mini,nifedipine,01_vs_02,01_vs_02_rep01,01_vs_02_rep02,01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1vs02-硝苯地平控释片30mg-易释-2506K003-Side-36h-750X-1-1.docx,01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1vs02-硝苯地平控释片30mg-易释-2506K003-Side-36h-750X-1-2.docx,0.088,lexical_no_reference,BERTScore skipped because no predefined reference answer was provided; lexical similarity used.,GPT-5-mini,0,Each point is one pairwise comparison between repeated outputs from the same model.,b,pairwise_similarity
GPT-5.5,GPT-5-mini,nifedipine,01_vs_02,01_vs_02_rep01,01_vs_02_rep03,01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1vs02-硝苯地平控释片30mg-易释-2506K003-Side-36h-750X-1-1.docx,01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1vs02-硝苯地平控释片30mg-易释-2506K003-Side-36h-750X-1-3.docx,0.122,lexical_no_reference,BERTScore skipped because no predefined reference answer was provided; lexical similarity used.,GPT-5-mini,0,Each point is one pairwise comparison between repeated outputs from the same model.,b,pairwise_similarity
GPT-5.5,GPT-5-mini,nifedipine,01_vs_02,01_vs_02_rep02,01_vs_02_rep03,01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1vs02-硝苯地平控释片30mg-易释-2506K003-Side-36h-750X-1-2.docx,01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1vs02-硝苯地平控释片30mg-易释-2506K003-Side-36h-750X-1-3.docx,0.055714,lexical_no_reference,BERTScore skipped because no predefined reference answer was provided; lexical similarity used.,GPT-5-mini,0,Each point is one pairwise comparison between repeated outputs from the same model.,b,pairwise_similarity
GPT-5.5,GPT-5-mini,nifedipine,01_vs_03,01_vs_03_rep01,01_vs_03_rep02,01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1vs03-硝苯地平控释片30mg-奈特-240419111-Side-36h-750X-1-1.docx,01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1vs03-硝苯地平控释片30mg-奈特-240419111-Side-36h-750X-1-2.docx,0.021143,lexical_no_reference,BERTScore skipped because no predefined reference answer was provided; lexical similarity used.,GPT-5-mini,0,Each point is one pairwise comparison between repeated outputs from the same model.,b,pairwise_similarity
GPT-5.5,GPT-5-mini,nifedipine,01_vs_03,01_vs_03_rep01,01_vs_03_rep03,01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1vs03-硝苯地平控释片30mg-奈特-240419111-Side-36h-750X-1-1.docx,01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1vs03-硝苯地平控释片30mg-奈特-240419111-Side-36h-750X-1-3.docx,0.027714,lexical_no_reference,BERTScore skipped because no predefined reference answer was provided; lexical similarity used.,GPT-5-mini,0,Each point is one pairwise comparison between repeated outputs from the same model.,b,pairwise_similarity
GPT-5.5,GPT-5-mini,nifedipine,01_vs_03,01_vs_03_rep02,01_vs_03_rep03,01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1vs03-硝苯地平控释片30mg-奈特-240419111-Side-36h-750X-1-2.docx,01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1vs03-硝苯地平控释片30mg-奈特-240419111-Side-36h-750X-1-3.docx,0.052,lexical_no_reference,BERTScore skipped because no predefined reference answer was provided; lexical similarity used.,GPT-5-mini,0,Each point is one pairwise comparison between repeated outputs from the same model.,b,pairwise_similarity
GPT-5.5,GPT-5-mini,nifedipine,01_vs_04,01_vs_04_rep01,01_vs_04_rep02,01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1vs04-硝苯地平控释片30mg-欣适平-58-240203-Side-36h-750X-1-1.docx,01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1vs04-硝苯地平控释片30mg-欣适平-58-240203-Side-36h-750X-1-2.docx,0.108857,lexical_no_reference,BERTScore skipped because no predefined reference answer was provided; lexical similarity used.,GPT-5-mini,0,Each point is one pairwise comparison between repeated outputs from the same model.,b,pairwise_similarity
