objective_percent,objective_time_window,analyte,base_model,workflow_condition,run_id,k4m_amount,k100lv_amount,k4m_fraction,adjustment_direction,explicit_numeric_recommendation,actionable_candidate_provided,mechanistic_rationale,source_file,notes,amount_unit,k4m_k100lv_ratio,source_sha256
105,0-4 h,methylene blue,Qwen3.6-plus,original DIS Chatflow,three_formulation_optimization__20260724_121108__rep01,,,,not specified,false,false,"General HPMC gel-layer and erosion mechanisms were discussed, but no next-step formulation direction was selected.",example_data/example_markdown_outputs/chatflow/methylene_blue/supplementary_target_response/original_dis_chatflow_105/rep01/optimization_answer.public.md,No numeric recommendation. All three original-workflow repeats omitted an actionable candidate.,not reliably recorded,,2b370996b2705f12034ed37f62b84610c968de7e0205cc3d4ec9bca2d634f043
105,0-4 h,methylene blue,Qwen3.6-plus,original DIS Chatflow,three_formulation_optimization__20260724_121108__rep02,,,,not specified,false,false,"High-viscosity HPMC was linked to stronger gel integrity and slower diffusion/erosion, without a formulation recommendation.",example_data/example_markdown_outputs/chatflow/methylene_blue/supplementary_target_response/original_dis_chatflow_105/rep02/optimization_answer.public.md,No numeric recommendation. All three original-workflow repeats omitted an actionable candidate.,not reliably recorded,,9d8f683591cfbb062e21fffb8ea93da51e1c30861b8880182e5d42429c75560e
105,0-4 h,methylene blue,Qwen3.6-plus,original DIS Chatflow,three_formulation_optimization__20260724_121108__rep03,,,,not specified,false,false,"The response emphasized slow diffusion through a persistent gel network, without selecting a next-step composition.",example_data/example_markdown_outputs/chatflow/methylene_blue/supplementary_target_response/original_dis_chatflow_105/rep03/optimization_answer.public.md,No numeric recommendation. All three original-workflow repeats omitted an actionable candidate.,not reliably recorded,,abc7b6ab3ce7e4110f2e99461c9c28cfb33b13a1ed38e5765f57fa9504127d98
110,0-4 h,methylene blue,Qwen3.6-plus,TOMO/MYGO-adapted Chatflow,three_formulation_optimization__20260724_151642__rep01,2.1000,3.2208,0.394677,decrease K4M; increase K100LV,true,true,A lower-viscosity gel was proposed to increase early flux while retaining enough K4M to avoid rapid depletion.,example_data/example_markdown_outputs/chatflow/methylene_blue/supplementary_target_response/tomo_mygo_adapted_110/rep01/optimization_answer.public.md,Matches rep03 closely; rep02 proposes a smaller shift (2.25/3.07).,not reliably recorded,0.652012,07584012b5f99e0bae2192a13f5fc4ddfe9bae68a9feeba7b5e79fe322ca5116
110,0-4 h,methylene blue,Qwen3.6-plus,TOMO/MYGO-adapted Chatflow,three_formulation_optimization__20260724_151642__rep02,2.2500,3.0700,0.422932,decrease K4M; increase K100LV,true,true,A conservative reduction in gel viscosity was proposed to increase 0-4 h release while maintaining total polymer.,example_data/example_markdown_outputs/chatflow/methylene_blue/supplementary_target_response/tomo_mygo_adapted_110/rep02/optimization_answer.public.md,"Same direction as reps01/03, with a smaller magnitude of change.",not reliably recorded,0.732899,7d54b07cc9cc69cff6bc9571b2d96d5ef47cdd2363a191463b26bcfe1f21ccfe
110,0-4 h,methylene blue,Qwen3.6-plus,TOMO/MYGO-adapted Chatflow,three_formulation_optimization__20260724_151642__rep03,2.1000,3.2200,0.394737,decrease K4M; increase K100LV,true,true,The ratio was shifted toward the low-viscosity formulation to reduce diffusion resistance without fully losing gel integrity.,example_data/example_markdown_outputs/chatflow/methylene_blue/supplementary_target_response/tomo_mygo_adapted_110/rep03/optimization_answer.public.md,Matches rep01 after rounding; rep02 proposes a smaller shift.,not reliably recorded,0.652174,f967fe26322456797e434f6a1411a70c42058de90e541810f09616f699bd514a
90,0-4 h,methylene blue,Qwen3.6-plus,TOMO/MYGO-adapted Chatflow,three_formulation_optimization__20260724_183333__rep01,1.8000,3.5000,0.339623,decrease K4M; increase K100LV,true,true,The output interpreted the word 'increased' as requiring faster early release and weakened the gel barrier.,example_data/example_markdown_outputs/chatflow/methylene_blue/supplementary_target_response/tomo_mygo_adapted_90/rep01/optimization_answer.public.md,"All three repeats use K4M=1.80 and K100LV=3.50-3.52, but this direction conflicts with a literal target of 90% of baseline.",not reliably recorded,0.514286,2ba163a256a1b6b760f219c91d33cc05b38fd3552daa76eba0bb957ae3a905c7
90,0-4 h,methylene blue,Qwen3.6-plus,TOMO/MYGO-adapted Chatflow,three_formulation_optimization__20260724_183333__rep02,1.8000,3.5200,0.338346,decrease K4M; increase K100LV,true,true,"The output explicitly acknowledged target ambiguity, assumed acceleration, and shifted toward a more permeable gel.",example_data/example_markdown_outputs/chatflow/methylene_blue/supplementary_target_response/tomo_mygo_adapted_90/rep02/optimization_answer.public.md,All three repeats use K4M=1.80 and K100LV=3.50-3.52; ambiguity was stated most clearly in this repeat.,not reliably recorded,0.511364,8dd870e7e3811fd9a8ddb0a4102f979bc84aac53133be7ef99422cebc8bc8e43
90,0-4 h,methylene blue,Qwen3.6-plus,TOMO/MYGO-adapted Chatflow,three_formulation_optimization__20260724_183333__rep03,1.8000,3.5200,0.338346,decrease K4M; increase K100LV,true,true,The output moved toward the low-viscosity formulation to increase early diffusion while retaining some K4M.,example_data/example_markdown_outputs/chatflow/methylene_blue/supplementary_target_response/tomo_mygo_adapted_90/rep03/optimization_answer.public.md,"All three repeats use K4M=1.80 and K100LV=3.50-3.52, but this direction conflicts with a literal target of 90% of baseline.",not reliably recorded,0.511364,f7611f6fb5e1d75870b04fef0c8d5f216ebdf793a1ae996c1b69a7cb0fe70624
110,0-4 h,methylene blue,GPT (exact version not verified),skill-assisted,gpt_skill_target_110_doc01,1.5500,3.7708,0.291310,decrease K4M; increase K100LV,true,true,The proposal interpolated toward the low-viscosity formulation to weaken the early gel barrier while retaining sustained release.,example_data/example_markdown_outputs/skills/methylene_blue/supplementary_target_response/gpt_skill_target_110_output.docx,"Single document; repeat consistency not assessable. The source filename says 90%, but the final recommendation targets 110%.",not recorded,0.411053,3ee8be52ace8fe4a4bc5086b560b2b4669a907384086bcf51be52b0c4839b674
